"OffspringID" "ParentID" "sex" "yearOffsp" "ClassAgeParent" "YearParent"
"1206" "2508" "F" "2013" "Adult" "2015"
"2115" "3799" "F" "2014" "Adult" "2016"
"3707" "3558" "F" "2016" "Adult" "2016"
"2768" "2401" "F" "2015" "Adult" "2014"
"606" "367" "F" "2013" "Adult" "2013"
"1977" "177" "F" "2014" "Adult" "2013"
"2035" "522" "F" "2014" "Adult" "2013"
"1238" "3550" "F" "2013" "Adult" "2016"
"1348" "1090" "F" "2013" "Adult" "2013"
"2187" "449" "F" "2014" "Adult" "2013"
"166" "297" "F" "2013" "Adult" "2013"
"3149" "333" "F" "2015" "Adult" "2013"
"3766" "2472" "F" "2016" "Adult" "2015"
"1952" "226" "F" "2014" "Adult" "2013"
"3396" "860" "F" "2016" "Adult" "2013"
"3639" "243" "F" "2016" "Adult" "2013"
"2656" "565" "F" "2015" "Adult" "2013"
"2618" "1400" "F" "2015" "Adult" "2013"
"2078" "1124" "F" "2014" "Adult" "2013"
"3428" "8" "F" "2016" "Adult" "2013"
"1379" "1103" "F" "2013" "Adult" "2013"
"3025" "3566" "F" "2015" "Adult" "2016"
"2117" "781" "F" "2014" "Adult" "2013"
"3104" "1025" "F" "2015" "Adult" "2013"
"2881" "301" "F" "2015" "Adult" "2013"
"2698" "1510" "F" "2015" "Adult" "2013"
"2283" "650" "F" "2014" "Adult" "2013"
"1366" "1100" "F" "2013" "Adult" "2013"
"1014" "3566" "F" "2013" "Adult" "2016"
"3095" "561" "F" "2015" "Adult" "2013"
"2867" "209" "F" "2015" "Adult" "2013"
"2030" "491" "F" "2014" "Adult" "2013"
"3058" "777" "F" "2015" "Adult" "2013"
"852" "628" "F" "2013" "Adult" "2013"
"665" "156" "F" "2013" "Adult" "2013"
"3101" "1067" "F" "2015" "Adult" "2013"
"1914" "860" "F" "2014" "Adult" "2013"
"78" "2480" "F" "2013" "Adult" "2015"
"4009" "1067" "F" "2016" "Adult" "2013"
"3452" "2484" "F" "2016" "Adult" "2015"
"2242" "1070" "F" "2014" "Adult" "2013"
"1233" "1048" "F" "2013" "Adult" "2013"
"3154" "299" "F" "2015" "Adult" "2013"
"2044" "699" "F" "2014" "Adult" "2013"
"2178" "375" "F" "2014" "Adult" "2013"
"1965" "104" "F" "2014" "Adult" "2013"
"4011" "2758" "F" "2016" "Adult" "2015"
"3148" "555" "F" "2015" "Juv" "2013"
"2937" "934" "F" "2015" "Adult" "2013"
"3664" "142" "F" "2016" "Adult" "2013"
"283" "142" "F" "2013" "Adult" "2013"
"3082" "3609" "F" "2015" "Adult" "2016"
"1163" "910" "F" "2013" "Adult" "2013"
"3423" "17" "F" "2016" "Adult" "2013"
"2627" "161" "F" "2015" "Adult" "2013"
"3963" "657" "F" "2016" "Adult" "2013"
"3717" "505" "F" "2016" "Adult" "2013"
"4026" "1867" "F" "2016" "Adult" "2014"
"3087" "3558" "F" "2015" "Adult" "2016"
"2871" "313" "F" "2015" "Adult" "2013"
"3709" "561" "F" "2016" "Adult" "2013"
"876" "645" "F" "2013" "Adult" "2013"
"4032" "1105" "F" "2016" "Adult" "2013"
"4043" "1072" "F" "2016" "Adult" "2013"
"879" "657" "F" "2013" "Adult" "2013"
"2841" "2898" "F" "2015" "Adult" "2015"
"2825" "616" "F" "2015" "Adult" "2013"
"3643" "297" "F" "2016" "Adult" "2013"
"3992" "1100" "F" "2016" "Adult" "2013"
"1359" "1075" "F" "2013" "Adult" "2013"
"3460" "913" "F" "2016" "Adult" "2013"
"810" "2107" "F" "2013" "Adult" "2014"
"3126" "305" "F" "2015" "Adult" "2013"
"1175" "902" "F" "2013" "Adult" "2013"
"3723" "3609" "F" "2016" "Adult" "2016"
"2041" "2635" "F" "2014" "Adult" "2015"
"4025" "1834" "F" "2016" "Adult" "2014"
"2941" "1124" "F" "2015" "Adult" "2013"
"2801" "88" "F" "2015" "Adult" "2013"
"2211" "1792" "F" "2014" "Adult" "2014"
"2713" "3391" "F" "2015" "Adult" "2016"
"1622" "89" "F" "2013" "Adult" "2013"
"2641" "2484" "F" "2015" "Adult" "2015"
"2260" "657" "F" "2014" "Adult" "2013"
"3942" "2635" "F" "2016" "Adult" "2015"
"1404" "2403" "F" "2013" "Adult" "2014"
"3125" "1100" "F" "2015" "Adult" "2013"
"774" "581" "F" "2013" "Adult" "2013"
