idind	dby8	dby8b	rha101	rha101b	rha109	rha109b	rha4	rha4b	rha7	rha7b	rhc108	rhc108b	rhc3	rhc3b	rhd102	rhd102b	rhd103	rhd103b	idcol	year_sample	col2013_1	repet2013_1	col2013_2	repet2013_2	col2014_1	repet2014_1	col2014_2	repet2014_2	col2015_1	repet2015_1	col2015_2	repet2015_2	col2016_1	repet2016_1	col2016_2	repet2016_2
3270	131	154	125	136	188	188	0	0	229	239	216	216	169	173	255	255	212	224	M831	2015	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA	NA	NA	NA	NA
1745	0	0	136	136	0	0	288	288	229	229	216	216	173	173	251	251	220	220	M1106	2014	NA	NA	NA	NA	M1106	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2224	154	154	136	142	175	177	288	290	229	233	210	211	173	173	255	255	216	224	M1102	2014	NA	NA	NA	NA	NA	NA	M1102	2	M1102	1	NA	NA	M1102	2	NA	NA
1401	154	154	134	136	0	0	268	268	231	231	0	0	169	177	251	251	216	232	P412	2013	P412	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3062	154	154	136	136	177	186	0	0	229	229	216	216	169	177	255	255	212	216	M1979	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1979	1	NA	NA	NA	NA
1652	154	154	136	136	175	175	268	288	229	237	211	218	169	173	247	251	220	224	M831	2013	M831	1	NA	NA	M831	1	M831	7	NA	NA	NA	NA	NA	NA	NA	NA
2954	154	154	125	146	186	188	268	290	229	237	211	220	169	177	251	251	224	224	M813	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M813	1	NA	NA	M813	2
2370	154	154	125	136	175	190	268	290	229	241	216	218	165	169	247	251	216	232	M1112	2014	NA	NA	NA	NA	M1112	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
819	154	154	136	138	175	186	265	268	237	237	216	216	169	173	251	251	216	220	M815	2015	NA	NA	M815	1	M815	1	M815	1	M815	1	M815	1	M815	2	M815	2
3678	154	154	142	142	188	188	268	268	0	0	0	0	169	169	255	255	216	220	M831	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1
3184	154	154	125	125	177	184	0	0	229	229	211	216	169	177	247	255	212	216	M1079	2015	NA	NA	NA	NA	NA	NA	NA	NA	M1079	1	NA	NA	NA	NA	NA	NA
94	154	154	136	136	175	177	265	268	233	237	211	220	169	173	255	259	216	220	M831	2015	M831	12	M831	1	NA	NA	NA	NA	M831	2	M831	1	M831	2	M831	1
2483	154	154	136	136	177	188	288	288	229	233	220	220	165	169	251	263	220	224	M1112	2015	NA	NA	NA	NA	NA	NA	NA	NA	M1112	1	NA	NA	NA	NA	M1112	2
123	131	154	125	136	175	186	265	284	231	233	216	216	173	173	251	251	212	224	M831	2013	M831	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	NA	NA
1527	154	154	136	136	175	190	268	268	229	233	216	220	173	173	247	251	216	224	M399	2013	NA	NA	M399	1	NA	NA	NA	NA	M399	1	NA	NA	NA	NA	NA	NA
571	154	154	125	125	175	175	268	284	231	241	211	216	169	173	238	251	212	216	M244	2013	M244	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1584	154	154	136	150	186	188	284	288	228	235	211	216	169	173	243	251	212	236	M1079	2013	NA	NA	M1079	3	NA	NA	NA	NA	M1079	1	NA	NA	NA	NA	M1079	2
588	131	154	138	138	175	184	0	0	235	237	216	216	173	173	0	0	224	228	M244	2013	M244	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
647	154	154	125	136	175	186	268	284	231	235	218	220	169	173	247	251	220	224	M1551	2015	M1551	1	NA	NA	M1551	1	M1551	1	M1551	1	M1551	2	M1551	1	NA	NA
2852	154	154	136	138	186	188	265	288	229	231	211	220	169	173	247	251	216	220	M831	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1	M831	1	NA	NA
1679	154	154	136	138	175	186	288	293	224	229	216	218	173	173	243	251	220	228	PP3	2014	NA	NA	NA	NA	PP3	2	NA	NA	NA	NA	PP3	3	NA	NA	NA	NA
5	154	154	134	136	175	175	268	284	228	235	211	216	169	177	234	251	220	228	M1112	2013	M1112	2	NA	NA	NA	NA	NA	NA	M1112	1	NA	NA	M1112	1	NA	NA
1902	154	154	138	146	186	188	265	288	228	237	211	216	169	169	259	259	224	228	M809	2014	NA	NA	NA	NA	M809	1	M809	4	NA	NA	M809	1	M809	4	NA	NA
1760	154	154	136	146	177	183	268	290	229	233	218	220	169	173	247	255	216	224	M1106	2015	NA	NA	NA	NA	M1106	1	NA	NA	M1106	1	PP3	4	M1106	2	NA	NA
3199	154	154	136	136	186	188	0	0	229	229	216	218	169	169	238	255	212	216	M1102	2015	NA	NA	NA	NA	NA	NA	NA	NA	M1102	1	NA	NA	NA	NA	NA	NA
2312	154	154	136	136	175	188	268	288	228	241	218	218	169	169	259	259	216	224	M809	2014	NA	NA	NA	NA	NA	NA	M809	2	NA	NA	NA	NA	NA	NA	NA	NA
2231	154	154	136	136	186	188	284	288	229	239	216	216	169	169	234	234	212	228	M1975	2014	NA	NA	NA	NA	NA	NA	M1975	1	M1975	1	NA	NA	NA	NA	NA	NA
60	154	154	136	136	177	177	268	268	239	239	218	218	169	169	255	255	212	216	M1979	2013	NA	NA	M1979	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2548	131	154	136	138	184	186	265	265	233	237	216	216	169	169	255	255	224	224	M1551	2015	NA	NA	NA	NA	NA	NA	NA	NA	M1551	1	NA	NA	M1551	1	NA	NA
1786	131	154	136	136	175	188	265	268	235	239	211	220	169	173	251	251	220	224	M811	2014	NA	NA	NA	NA	M811	1	NA	NA	M811	1	NA	NA	NA	NA	NA	NA
3685	154	154	136	136	175	177	288	290	241	241	211	216	169	173	255	255	220	228	M831	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M831	1
1897	154	154	136	138	175	186	268	290	235	241	211	216	169	173	243	263	216	228	M809	2016	NA	NA	NA	NA	M809	1	M809	3	NA	NA	M809	2	M809	2	M809	3
1569	131	154	136	136	0	0	268	290	228	228	216	216	169	177	247	259	224	228	M831	2013	M831	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
565	154	154	125	136	173	186	284	290	231	243	207	216	169	169	251	251	224	224	PP1	2013	PP1	1	NA	NA	PP1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3820	154	154	136	136	186	186	0	0	228	228	0	0	169	169	251	255	220	224	M1113	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M1113	1	NA	NA
1336	131	154	136	136	175	188	265	265	237	237	216	216	169	169	243	251	216	220	M815	2013	NA	NA	M815	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1089	154	154	136	136	175	186	265	268	228	241	216	218	169	173	247	259	216	224	M809	2016	M809	1	NA	NA	NA	NA	M809	2	NA	NA	M809	2	M809	1	NA	NA
2049	154	154	138	142	175	190	286	290	235	237	211	216	173	173	238	251	220	228	M1106	2015	NA	NA	NA	NA	NA	NA	M1106	5	PP3	1	M1106	1	NA	NA	NA	NA
1660	131	154	136	136	186	186	286	286	235	241	216	216	169	173	251	255	228	228	M831	2013	NA	NA	M831	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
537	154	154	136	136	175	175	284	288	231	237	216	216	169	173	247	255	216	220	M811	2014	NA	NA	M811	4	M811	1	M811	1	NA	NA	NA	NA	NA	NA	NA	NA
2473	154	154	136	136	186	186	268	288	231	231	211	218	169	169	234	259	212	216	M1975	2015	NA	NA	NA	NA	NA	NA	NA	NA	M1975	1	M1975	1	NA	NA	NA	NA
87	154	154	136	136	188	188	288	290	233	239	207	218	169	173	247	255	220	224	PP1	2014	PP1	1	NA	NA	PP1	1	PP1	2	PP1	1	PP1	1	PP1	1	NA	NA
1083	154	154	136	136	175	186	268	288	237	241	216	216	169	173	247	259	224	224	M809	2013	M809	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M809	1	M809	1
2549	154	154	136	136	175	186	265	288	235	241	211	220	169	169	251	263	220	220	PP1	2015	NA	NA	NA	NA	NA	NA	NA	NA	PP1	1	NA	NA	NA	NA	NA	NA
632	131	154	136	136	175	188	265	268	229	229	211	211	173	173	247	251	224	224	M1551	2014	M1551	2	NA	NA	NA	NA	M1551	1	M1551	1	NA	NA	NA	NA	M1551	1
3511	154	154	136	146	184	186	288	290	228	241	216	220	169	173	255	259	220	224	M809	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M809	4	NA	NA
3543	131	154	134	136	175	186	288	288	233	235	216	220	169	169	243	251	212	220	M809	2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M809	2	NA	NA
2280	154	154	136	136	184	186	268	284	229	239	216	216	0	0	0	0	212	212	M1979	2014	NA	NA	NA	NA	NA	NA	M1979	1	NA	NA	NA	NA	NA	NA	NA	NA
24	154	154	136	136	177	177	284	290	229	233	220	220	181	181	234	259	212	224	M1979	2015	M1979	4	NA	NA	M1979	1	M1979	4	NA	NA	M1979	2	NA	NA	NA	NA
125	131	154	134	136	188	190	290	290	229	233	216	218	169	169	251	255	220	224	M831	2013	M831	3	NA	NA	M831	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1916	131	154	138	146	175	188	288	288	231	233	216	220	169	169	234	255	212	216	M831	2015	NA	NA	NA	NA	M831	1	NA	NA	M831	1	NA	NA	NA	NA	NA	NA
904	154	154	136	142	175	186	268	288	228	241	216	218	169	169	243	259	224	224	M813	2015	M813	6	NA	NA	M815	2	M815	1	M813	1	NA	NA	NA	NA	NA	NA
3099	154	154	146	146	186	188	268	288	228	231	211	216	169	169	255	259	224	228	M809	2015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M809	4	M809	1	M809	1
2266	154	154	136	140	184	186	268	286	233	239	211	220	169	169	255	255	216	220	M1979	2014	NA	NA	NA	NA	NA	NA	M1979	1	NA	NA	NA	NA	NA	NA	NA	NA
1089	154	154	136	136	175	186	265	268	228	241	216	218	169	173	247	259	216	224	M809	2015	M809	1	NA	NA	NA	NA	M809	2	NA	NA	M809	2	M809	1	NA	NA
2219	154	154	136	136	175	184	284	288	233	235	210	216	169	173	247	255	224	228	M1102	2015	NA	NA	NA	NA	NA	NA	M1102	3	M1102	1	NA	NA	NA	NA	M1102	1
1389	131	154	125	136	175	175	265	286	233	233	220	220	173	177	238	255	224	224	PP1	2015	PP1	1	NA	NA	NA	NA	NA	NA	PP1	1	NA	NA	NA	NA	NA	NA
576	154	154	136	136	175	186	284	290	229	235	211	216	169	173	247	255	224	224	M244	2013	M244	1	NA	NA	NA	NA	M244	1	M244	1	M244	3	NA	NA	NA	NA
1786	131	154	136	136	175	188	265	268	235	239	211	220	169	173	251	251	220	224	M811	2015	NA	NA	NA	NA	M811	1	NA	NA	M811	1	NA	NA	NA	NA	NA	NA
1148	154	154	134	136	177	188	268	288	231	235	216	220	169	169	251	255	220	220	M831	2014	NA	NA	M831	2	M831	1	M831	4	NA	NA	NA	NA	NA	NA	NA	NA
1145	154	154	136	136	177	186	284	288	229	231	216	218	169	169	243	251	224	228	PP1	2014	PP1	1	NA	NA	PP1	1	NA	NA	PP1	1	PP1	1	PP1	1	NA	NA
672	154	154	136	136	175	186	268	268	228	228	210	216	169	177	238	243	220	224	M831	2015	NA	NA	M831	1	M831	1	M831	1	M831	4	NA	NA	NA	NA	NA	NA
59	154	154	125	136	175	188	268	288	228	229	211	218	169	169	259	263	220	224	M1112	2013	NA	NA	M1112	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2454	154	154	125	136	186	186	288	288	233	235	211	216	177	177	243	259	220	232	M1106	2015	NA	NA	NA	NA	NA	NA	NA	NA	M1106	1	M1106	1	NA	NA	NA	NA
1866	131	154	136	138	175	188	288	290	239	241	216	220	169	173	243	247	220	224	M809	2014	NA	NA	NA	NA	M809	2	M809	1	NA	NA	NA	NA	NA	NA	NA	NA
373	154	154	136	138	177	186	290	290	228	231	216	220	169	177	247	251	216	220	M811	2013	M811	1	M811	1	NA	NA	M811	4	NA	NA	NA	NA	M811	1	NA	NA
