idind	idcol	CXSGT	M1079	M1102	M1106	M1112	M1113	M1551	M1975	M1979	M244	M809	M811	M813	M815	M831	PP1	PP3	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
2147	M831	0.034	0.042	0.065	0.084	0.045	0.039	0.073	0.034	0.037	0.076	0.04	0.045	0.05	0.051	0.155	0.046	0.082	2	M1112	0.045	M831	TRUE	0.1 < p < 0.25	10
1612	M831	0.065	0.057	0.089	0.056	0.052	0.056	0.06	0.047	0.053	0.074	0.05	0.046	0.055	0.058	0.076	0.053	0.053	2	M813	0.055	M1102	TRUE	p < 0.1	10
779	M815	0.061	0.07	0.047	0.077	0.061	0.047	0.057	0.052	0.042	0.073	0.062	0.071	0.05	0.069	0.055	0.05	0.056	2	PP3	0.056	M1106	TRUE	p < 0.1	10
696	M1106	0.021	0.022	0.045	0.159	0.044	0.054	0.047	0.037	0.023	0.036	0.046	0.054	0.058	0.053	0.029	0.133	0.142	2	M1102	0.045	M1106	TRUE	0.1 < p < 0.25	10
415	M1102	0.049	0.052	0.085	0.077	0.071	0.035	0.072	0.046	0.036	0.046	0.038	0.055	0.046	0.037	0.094	0.069	0.092	2	CXSGT	0.049	M831	TRUE	p < 0.1	10
2586	M1979	0.06	0.116	0.098	0.055	0.041	0.053	0.088	0.059	0.037	0.054	0.051	0.053	0.046	0.039	0.071	0.031	0.048	2	M811	0.053	M1079	TRUE	0.1 < p < 0.25	10
662	M831	0.05	0.069	0.055	0.055	0.053	0.07	0.072	0.042	0.038	0.058	0.069	0.056	0.058	0.064	0.085	0.059	0.048	2	M811	0.056	M831	TRUE	p < 0.1	10
3251	M831	0.035	0.035	0.061	0.056	0.055	0.047	0.06	0.062	0.12	0.051	0.046	0.048	0.048	0.041	0.125	0.054	0.057	2	M244	0.051	M831	TRUE	0.1 < p < 0.25	10
926	M813	0.044	0.071	0.038	0.073	0.055	0.09	0.05	0.027	0.027	0.045	0.083	0.072	0.062	0.073	0.049	0.074	0.068	2	M1112	0.055	M1113	TRUE	p < 0.1	10
3456	M1113	0.047	0.057	0.076	0.044	0.053	0.074	0.063	0.06	0.05	0.059	0.058	0.064	0.062	0.067	0.065	0.057	0.047	2	M809	0.058	M1102	TRUE	p < 0.1	10
844	PP1	0.043	0.047	0.101	0.055	0.052	0.074	0.067	0.036	0.036	0.072	0.067	0.054	0.087	0.05	0.066	0.049	0.044	2	M1112	0.052	M1102	TRUE	0.1 < p < 0.25	10
1649	M831	0.091	0.082	0.056	0.049	0.06	0.039	0.072	0.036	0.036	0.071	0.05	0.053	0.044	0.054	0.083	0.068	0.056	2	M815	0.054	CXSGT	TRUE	p < 0.1	10
3420	M1979	0.057	0.043	0.046	0.029	0.033	0.032	0.033	0.14	0.327	0.025	0.029	0.03	0.036	0.031	0.037	0.038	0.033	2	M1551	0.033	M1979	TRUE	0.25 < p < 0.5	10
93	M831	0.032	0.03	0.065	0.055	0.057	0.041	0.059	0.032	0.034	0.101	0.049	0.05	0.072	0.044	0.172	0.062	0.043	2	M809	0.049	M831	TRUE	0.1 < p < 0.25	10
1850	M1102	0.072	0.122	0.04	0.053	0.05	0.054	0.072	0.024	0.041	0.063	0.079	0.047	0.058	0.054	0.068	0.058	0.047	2	M815	0.054	M1079	TRUE	0.1 < p < 0.25	10
1078	M1975	0.053	0.069	0.045	0.036	0.051	0.055	0.042	0.149	0.145	0.038	0.056	0.043	0.054	0.045	0.042	0.037	0.041	2	M815	0.045	M1975	TRUE	0.1 < p < 0.25	10
572	M244	0.036	0.047	0.056	0.103	0.048	0.059	0.061	0.053	0.043	0.054	0.083	0.065	0.066	0.042	0.059	0.053	0.072	2	M244	0.054	M1106	FALSE	0.1 < p < 0.25	10
3158	M815	0.051	0.043	0.048	0.067	0.049	0.062	0.057	0.085	0.051	0.048	0.068	0.052	0.057	0.087	0.056	0.06	0.057	2	M831	0.056	M815	TRUE	p < 0.1	10
153	M831	0.055	0.035	0.057	0.053	0.054	0.064	0.083	0.061	0.049	0.079	0.081	0.047	0.071	0.049	0.065	0.048	0.048	2	M1112	0.054	M1551	TRUE	p < 0.1	10
2449	PP3	0.045	0.048	0.058	0.107	0.071	0.047	0.049	0.044	0.033	0.04	0.046	0.047	0.062	0.063	0.048	0.07	0.121	2	M831	0.048	PP3	TRUE	0.1 < p < 0.25	10
702	M1106	0.045	0.04	0.052	0.078	0.081	0.053	0.052	0.043	0.059	0.048	0.043	0.063	0.074	0.074	0.031	0.056	0.106	2	M1102	0.052	PP3	TRUE	0.1 < p < 0.25	10
745	M1106	0.028	0.027	0.05	0.111	0.058	0.064	0.056	0.116	0.036	0.044	0.054	0.06	0.062	0.069	0.053	0.045	0.068	2	M809	0.054	M1975	TRUE	0.1 < p < 0.25	10
1107	M1975	0.041	0.037	0.042	0.053	0.052	0.048	0.047	0.17	0.151	0.045	0.045	0.04	0.043	0.043	0.051	0.045	0.047	2	M809	0.045	M1975	TRUE	0.1 < p < 0.25	10
2739	M244	0.03	0.045	0.063	0.056	0.064	0.063	0.066	0.032	0.032	0.071	0.066	0.058	0.054	0.077	0.071	0.066	0.084	2	M1113	0.063	PP3	TRUE	p < 0.1	10
714	M1106	0.072	0.064	0.06	0.074	0.055	0.057	0.071	0.047	0.027	0.1	0.055	0.067	0.052	0.041	0.064	0.042	0.055	2	M1112	0.055	M244	TRUE	0.1 < p < 0.25	10
859	M1102	0.078	0.041	0.052	0.045	0.074	0.04	0.084	0.039	0.046	0.068	0.045	0.044	0.051	0.048	0.069	0.112	0.062	2	M815	0.048	PP1	TRUE	0.1 < p < 0.25	10
2129	M831	0.028	0.029	0.064	0.044	0.053	0.069	0.082	0.038	0.069	0.076	0.063	0.07	0.053	0.043	0.105	0.06	0.053	2	M1112	0.053	M831	TRUE	0.1 < p < 0.25	10
3248	M831	0.054	0.046	0.128	0.043	0.058	0.064	0.059	0.053	0.052	0.046	0.054	0.054	0.061	0.058	0.056	0.041	0.074	2	M809	0.054	M1102	TRUE	0.1 < p < 0.25	10
221	M831	0.03	0.063	0.049	0.051	0.068	0.047	0.084	0.031	0.025	0.084	0.049	0.142	0.043	0.038	0.112	0.044	0.04	2	M1113	0.047	M811	TRUE	0.1 < p < 0.25	10
3470	M1113	0.07	0.052	0.062	0.038	0.064	0.08	0.067	0.037	0.054	0.054	0.07	0.068	0.064	0.068	0.062	0.049	0.039	2	M831	0.062	M1113	TRUE	p < 0.1	10
119	M831	0.066	0.056	0.05	0.055	0.051	0.078	0.055	0.077	0.081	0.037	0.062	0.057	0.053	0.052	0.047	0.067	0.055	2	M1551	0.055	M1979	TRUE	p < 0.1	10
112	M831	0.035	0.032	0.048	0.058	0.06	0.052	0.051	0.063	0.1	0.052	0.063	0.052	0.088	0.058	0.077	0.052	0.057	2	M1113	0.052	M1979	TRUE	0.1 < p < 0.25	10
756	M1106	0.048	0.04	0.086	0.06	0.044	0.062	0.083	0.037	0.034	0.069	0.055	0.053	0.067	0.057	0.097	0.06	0.047	2	M809	0.055	M831	TRUE	p < 0.1	10
873	M1113	0.04	0.049	0.065	0.038	0.059	0.062	0.05	0.084	0.125	0.044	0.06	0.056	0.056	0.053	0.066	0.05	0.043	2	M815	0.053	M1979	TRUE	0.1 < p < 0.25	10
3744	M1112	0.045	0.072	0.062	0.053	0.063	0.055	0.061	0.039	0.064	0.092	0.046	0.071	0.069	0.061	0.053	0.039	0.056	2	PP3	0.056	M244	TRUE	p < 0.1	10
3014	M244	0.045	0.089	0.044	0.047	0.047	0.051	0.053	0.059	0.033	0.162	0.043	0.085	0.046	0.049	0.055	0.048	0.045	2	M1106	0.047	M244	TRUE	0.1 < p < 0.25	10
3854	M1551	0.064	0.046	0.047	0.074	0.055	0.06	0.066	0.047	0.051	0.045	0.08	0.059	0.075	0.075	0.061	0.049	0.048	2	M1112	0.055	M809	TRUE	p < 0.1	10
3367	M813	0.059	0.053	0.051	0.059	0.051	0.057	0.059	0.042	0.054	0.068	0.07	0.045	0.062	0.053	0.054	0.052	0.111	2	M831	0.054	PP3	TRUE	0.1 < p < 0.25	10
2377	M815	0.03	0.033	0.062	0.083	0.076	0.048	0.079	0.025	0.031	0.052	0.066	0.061	0.083	0.067	0.061	0.075	0.069	2	M811	0.061	M1106	TRUE	p < 0.1	10
121	PP1	0.059	0.071	0.075	0.051	0.049	0.066	0.072	0.036	0.039	0.051	0.061	0.056	0.06	0.052	0.067	0.061	0.074	2	CXSGT	0.059	M1102	TRUE	p < 0.1	10
217	M831	0.024	0.034	0.06	0.048	0.054	0.044	0.074	0.037	0.032	0.153	0.06	0.058	0.048	0.036	0.139	0.044	0.056	2	M813	0.048	M244	TRUE	0.1 < p < 0.25	10
1559	M1079	0.067	0.05	0.057	0.042	0.061	0.057	0.069	0.057	0.049	0.063	0.095	0.055	0.079	0.063	0.046	0.045	0.043	2	M1975	0.057	M809	TRUE	p < 0.1	10
2126	M831	0.042	0.045	0.054	0.052	0.064	0.058	0.095	0.033	0.026	0.091	0.061	0.071	0.053	0.054	0.111	0.049	0.042	2	M813	0.053	M831	TRUE	0.1 < p < 0.25	10
3245	M831	0.046	0.047	0.057	0.073	0.061	0.087	0.052	0.058	0.059	0.048	0.076	0.061	0.058	0.052	0.054	0.059	0.051	2	M1102	0.057	M1113	TRUE	p < 0.1	10
3836	M1102	0.041	0.043	0.076	0.07	0.062	0.057	0.072	0.036	0.033	0.075	0.06	0.058	0.055	0.049	0.102	0.051	0.059	2	M1113	0.057	M831	TRUE	0.1 < p < 0.25	10
232	M831	0.04	0.051	0.063	0.063	0.055	0.059	0.05	0.035	0.062	0.052	0.06	0.067	0.055	0.091	0.074	0.06	0.065	2	M1113	0.059	M815	TRUE	p < 0.1	10
3600	M244	0.025	0.029	0.065	0.04	0.044	0.071	0.046	0.025	0.041	0.052	0.059	0.193	0.07	0.053	0.037	0.069	0.079	2	M1551	0.046	M811	TRUE	0.1 < p < 0.25	10
1035	M809	0.02	0.023	0.068	0.053	0.068	0.064	0.077	0.042	0.05	0.062	0.089	0.067	0.083	0.066	0.055	0.055	0.059	2	PP3	0.059	M809	TRUE	p < 0.1	10
2476	M809	0.092	0.087	0.051	0.059	0.054	0.076	0.052	0.046	0.063	0.04	0.065	0.041	0.057	0.048	0.057	0.062	0.05	2	M1112	0.054	CXSGT	TRUE	p < 0.1	10
1785	M811	0.043	0.036	0.063	0.053	0.095	0.066	0.097	0.05	0.033	0.056	0.057	0.075	0.06	0.052	0.073	0.041	0.048	2	M1106	0.053	M1551	TRUE	p < 0.1	10
898	M813	0.052	0.041	0.044	0.049	0.046	0.059	0.056	0.111	0.119	0.05	0.074	0.053	0.07	0.037	0.049	0.045	0.047	2	M1106	0.049	M1979	TRUE	0.1 < p < 0.25	10
3224	M831	0.029	0.055	0.056	0.056	0.067	0.058	0.07	0.042	0.055	0.052	0.068	0.051	0.106	0.055	0.048	0.06	0.071	2	M1079	0.055	M813	TRUE	0.1 < p < 0.25	10
3193	M1102	0.031	0.114	0.061	0.057	0.049	0.073	0.044	0.035	0.052	0.049	0.064	0.061	0.059	0.054	0.043	0.067	0.088	2	M815	0.054	M1079	TRUE	0.1 < p < 0.25	10
481	M244	0.07	0.238	0.045	0.052	0.037	0.037	0.045	0.044	0.035	0.08	0.043	0.042	0.041	0.041	0.045	0.053	0.052	2	M1975	0.044	M1079	TRUE	0.1 < p < 0.25	10
3279	M831	0.09	0.048	0.059	0.055	0.062	0.043	0.06	0.037	0.064	0.08	0.052	0.051	0.057	0.067	0.075	0.051	0.049	2	M1106	0.055	CXSGT	TRUE	p < 0.1	10
96	M831	0.052	0.102	0.105	0.052	0.053	0.044	0.085	0.035	0.034	0.048	0.042	0.053	0.045	0.042	0.114	0.048	0.046	2	PP1	0.048	M831	TRUE	0.1 < p < 0.25	10
1765	M1106	0.045	0.075	0.06	0.046	0.064	0.061	0.054	0.023	0.03	0.041	0.058	0.106	0.082	0.088	0.063	0.05	0.053	2	M1551	0.054	M811	TRUE	0.1 < p < 0.25	10
2759	M244	0.033	0.092	0.075	0.038	0.054	0.082	0.044	0.054	0.103	0.047	0.056	0.05	0.058	0.053	0.056	0.057	0.049	2	M1975	0.054	M1979	TRUE	0.1 < p < 0.25	10
1491	M1079	0.103	0.137	0.06	0.055	0.046	0.038	0.046	0.063	0.051	0.044	0.042	0.039	0.049	0.045	0.064	0.064	0.053	2	M813	0.049	M1079	TRUE	0.1 < p < 0.25	10
3868	M1102	0.073	0.085	0.074	0.046	0.048	0.045	0.069	0.04	0.049	0.061	0.058	0.048	0.054	0.066	0.073	0.055	0.056	2	PP1	0.055	M1079	TRUE	p < 0.1	10
3576	M1975	0.038	0.044	0.058	0.053	0.061	0.105	0.059	0.038	0.055	0.045	0.059	0.084	0.065	0.071	0.062	0.05	0.055	2	M1979	0.055	M1113	TRUE	0.1 < p < 0.25	10
3278	M831	0.049	0.09	0.059	0.069	0.055	0.063	0.059	0.044	0.033	0.072	0.065	0.052	0.054	0.056	0.07	0.052	0.056	2	PP3	0.056	M1079	TRUE	p < 0.1	10
2460	M809	0.04	0.027	0.134	0.046	0.053	0.053	0.064	0.036	0.04	0.039	0.072	0.06	0.067	0.065	0.086	0.039	0.079	2	M1113	0.053	M1102	TRUE	0.1 < p < 0.25	10
3213	M831	0.022	0.04	0.049	0.038	0.031	0.04	0.038	0.303	0.136	0.036	0.042	0.031	0.04	0.033	0.045	0.04	0.039	2	PP3	0.039	M1975	TRUE	0.25 < p < 0.5	10
1767	M811	0.051	0.048	0.057	0.084	0.059	0.062	0.057	0.031	0.028	0.062	0.081	0.06	0.073	0.075	0.069	0.043	0.059	2	PP3	0.059	M1106	TRUE	p < 0.1	10
2000	M813	0.068	0.068	0.046	0.072	0.054	0.074	0.055	0.04	0.035	0.046	0.069	0.05	0.055	0.071	0.048	0.09	0.059	2	M813	0.055	PP1	FALSE	p < 0.1	10
130	PP1	0.057	0.05	0.048	0.081	0.058	0.059	0.058	0.059	0.066	0.054	0.056	0.046	0.06	0.072	0.06	0.052	0.064	2	M1551	0.058	M1106	TRUE	p < 0.1	10
3261	M831	0.051	0.094	0.051	0.038	0.047	0.05	0.052	0.068	0.143	0.066	0.05	0.046	0.045	0.043	0.054	0.054	0.047	2	M1113	0.05	M1979	TRUE	0.1 < p < 0.25	10
2475	M1975	0.032	0.037	0.03	0.032	0.033	0.034	0.032	0.43	0.083	0.028	0.033	0.029	0.033	0.039	0.032	0.033	0.033	2	PP3	0.033	M1975	TRUE	0.25 < p < 0.5	10
530	M244	0.042	0.044	0.056	0.089	0.039	0.072	0.048	0.036	0.059	0.083	0.073	0.05	0.068	0.049	0.049	0.09	0.053	2	M811	0.05	PP1	TRUE	p < 0.1	10
560	M244	0.059	0.13	0.083	0.054	0.039	0.048	0.07	0.06	0.065	0.057	0.045	0.044	0.044	0.036	0.076	0.04	0.05	2	PP3	0.05	M1079	TRUE	0.1 < p < 0.25	10
569	M244	0.041	0.033	0.063	0.064	0.06	0.087	0.069	0.03	0.029	0.054	0.082	0.059	0.058	0.081	0.063	0.067	0.06	2	PP3	0.06	M1113	TRUE	p < 0.1	10
272	M831	0.024	0.028	0.042	0.097	0.051	0.047	0.068	0.038	0.03	0.093	0.063	0.049	0.068	0.056	0.138	0.041	0.068	2	M811	0.049	M831	TRUE	0.1 < p < 0.25	10
2371	M244	0.044	0.046	0.051	0.041	0.056	0.052	0.093	0.031	0.036	0.092	0.051	0.059	0.051	0.043	0.056	0.064	0.133	2	M809	0.051	PP3	TRUE	0.1 < p < 0.25	10
122	M831	0.034	0.06	0.07	0.075	0.056	0.044	0.073	0.042	0.069	0.047	0.048	0.048	0.042	0.043	0.13	0.06	0.06	2	M809	0.048	M831	TRUE	0.1 < p < 0.25	10
3843	M1102	0.033	0.053	0.064	0.069	0.064	0.058	0.068	0.04	0.028	0.053	0.059	0.05	0.056	0.051	0.067	0.055	0.132	2	PP1	0.055	PP3	TRUE	0.1 < p < 0.25	10
1093	M809	0.052	0.043	0.051	0.059	0.054	0.052	0.06	0.048	0.032	0.058	0.06	0.065	0.069	0.11	0.044	0.054	0.086	2	PP1	0.054	M815	TRUE	0.1 < p < 0.25	10
575	M244	0.042	0.038	0.055	0.069	0.08	0.057	0.07	0.047	0.032	0.072	0.06	0.068	0.082	0.058	0.067	0.052	0.051	2	M1113	0.057	M813	TRUE	p < 0.1	10
3571	M1106	0.036	0.073	0.048	0.099	0.047	0.093	0.063	0.045	0.05	0.053	0.057	0.045	0.055	0.048	0.051	0.06	0.079	2	M831	0.051	M1106	TRUE	p < 0.1	10
3187	M1102	0.031	0.065	0.07	0.092	0.048	0.058	0.061	0.049	0.042	0.062	0.059	0.042	0.05	0.049	0.079	0.063	0.078	2	M1113	0.058	M1106	TRUE	p < 0.1	10
3265	M831	0.029	0.042	0.093	0.044	0.058	0.045	0.061	0.039	0.069	0.073	0.067	0.048	0.084	0.062	0.079	0.056	0.05	2	PP1	0.056	M1102	TRUE	p < 0.1	10
908	M813	0.035	0.042	0.086	0.051	0.064	0.076	0.063	0.043	0.045	0.063	0.054	0.081	0.064	0.065	0.048	0.065	0.054	2	M809	0.054	M1102	TRUE	p < 0.1	10
3302	PP3	0.044	0.052	0.076	0.062	0.061	0.083	0.062	0.05	0.049	0.049	0.053	0.06	0.066	0.053	0.054	0.059	0.068	2	M831	0.054	M1113	TRUE	p < 0.1	10
2272	M1551	0.026	0.06	0.047	0.082	0.062	0.061	0.057	0.025	0.027	0.093	0.083	0.053	0.067	0.047	0.068	0.067	0.077	2	M1079	0.06	M244	TRUE	p < 0.1	10
290	M831	0.036	0.035	0.052	0.067	0.046	0.045	0.068	0.045	0.033	0.13	0.051	0.052	0.067	0.053	0.128	0.041	0.052	2	M809	0.051	M244	TRUE	0.1 < p < 0.25	10
3243	M831	0.062	0.056	0.066	0.036	0.044	0.045	0.083	0.037	0.044	0.079	0.067	0.048	0.054	0.049	0.143	0.04	0.045	2	M811	0.048	M831	TRUE	0.1 < p < 0.25	10
3334	M1975	0.042	0.043	0.053	0.049	0.054	0.065	0.057	0.037	0.053	0.053	0.061	0.059	0.074	0.062	0.051	0.045	0.145	2	M1979	0.053	PP3	TRUE	0.1 < p < 0.25	10
3722	M809	0.036	0.025	0.048	0.093	0.048	0.047	0.063	0.049	0.031	0.036	0.065	0.098	0.054	0.042	0.061	0.066	0.137	2	M1102	0.048	PP3	TRUE	0.1 < p < 0.25	10
1752	M813	0.046	0.04	0.044	0.06	0.051	0.052	0.056	0.067	0.092	0.068	0.11	0.044	0.073	0.061	0.05	0.044	0.044	2	M1112	0.051	M809	TRUE	0.1 < p < 0.25	10
1748	M1106	0.079	0.043	0.069	0.058	0.06	0.06	0.063	0.043	0.043	0.048	0.072	0.058	0.059	0.071	0.063	0.062	0.049	2	M813	0.059	CXSGT	TRUE	p < 0.1	10
2392	M1551	0.063	0.049	0.06	0.046	0.064	0.074	0.066	0.031	0.046	0.05	0.081	0.052	0.086	0.07	0.066	0.049	0.046	2	M811	0.052	M813	TRUE	p < 0.1	10
2083	CXSGT	0.057	0.17	0.046	0.048	0.05	0.054	0.053	0.027	0.036	0.049	0.059	0.05	0.05	0.068	0.036	0.093	0.053	2	M811	0.05	M1079	TRUE	0.1 < p < 0.25	10
3489	M831	0.053	0.055	0.057	0.071	0.057	0.037	0.084	0.039	0.036	0.093	0.042	0.044	0.048	0.041	0.151	0.041	0.05	2	M813	0.048	M831	TRUE	0.1 < p < 0.25	10
1757	M1106	0.068	0.042	0.033	0.053	0.083	0.047	0.056	0.077	0.063	0.071	0.073	0.056	0.07	0.074	0.039	0.054	0.042	2	M811	0.056	M1112	TRUE	p < 0.1	10
139	M831	0.091	0.106	0.065	0.069	0.044	0.062	0.053	0.061	0.04	0.058	0.056	0.046	0.056	0.042	0.053	0.054	0.044	2	PP1	0.054	M1079	TRUE	0.1 < p < 0.25	10
1097	M1975	0.047	0.062	0.097	0.054	0.051	0.046	0.041	0.098	0.098	0.031	0.037	0.043	0.062	0.056	0.032	0.056	0.09	2	M1112	0.051	M1975	TRUE	p < 0.1	10
3761	M1106	0.074	0.085	0.045	0.072	0.051	0.04	0.048	0.031	0.068	0.05	0.063	0.045	0.048	0.05	0.084	0.054	0.091	2	M244	0.05	PP3	TRUE	p < 0.1	10
2464	M1112	0.042	0.035	0.051	0.054	0.082	0.105	0.054	0.051	0.036	0.047	0.071	0.071	0.075	0.074	0.043	0.058	0.052	2	PP3	0.052	M1113	TRUE	0.1 < p < 0.25	10
254	M831	0.05	0.042	0.054	0.042	0.078	0.059	0.061	0.062	0.082	0.053	0.054	0.067	0.061	0.06	0.089	0.046	0.042	2	M1102	0.054	M831	TRUE	p < 0.1	10
874	M1102	0.041	0.043	0.077	0.067	0.047	0.087	0.079	0.044	0.028	0.051	0.067	0.054	0.056	0.06	0.071	0.06	0.067	2	M813	0.056	M1113	TRUE	p < 0.1	10
3231	M831	0.036	0.026	0.061	0.054	0.061	0.056	0.053	0.035	0.146	0.047	0.048	0.052	0.085	0.053	0.069	0.06	0.058	2	M1551	0.053	M1979	TRUE	0.1 < p < 0.25	10
1138	M1975	0.028	0.045	0.044	0.037	0.035	0.032	0.036	0.313	0.155	0.037	0.035	0.031	0.037	0.033	0.042	0.029	0.033	2	M1112	0.035	M1975	TRUE	0.25 < p < 0.5	10
3873	M1551	0.073	0.05	0.043	0.051	0.084	0.052	0.07	0.035	0.042	0.049	0.066	0.084	0.066	0.076	0.069	0.041	0.049	2	M1106	0.051	M1112	TRUE	p < 0.1	10
3520	M809	0.043	0.033	0.06	0.057	0.088	0.052	0.066	0.051	0.035	0.09	0.063	0.066	0.086	0.046	0.073	0.048	0.043	2	M1113	0.052	M244	TRUE	p < 0.1	10
1781	M811	0.034	0.024	0.046	0.05	0.078	0.089	0.057	0.044	0.055	0.042	0.082	0.108	0.067	0.076	0.049	0.051	0.045	2	M1106	0.05	M811	TRUE	0.1 < p < 0.25	10
3273	M831	0.043	0.097	0.065	0.05	0.044	0.049	0.052	0.094	0.067	0.057	0.054	0.042	0.05	0.053	0.069	0.058	0.057	2	M815	0.053	M1079	TRUE	p < 0.1	10
2358	M244	0.054	0.064	0.051	0.09	0.06	0.043	0.061	0.034	0.033	0.104	0.043	0.05	0.05	0.062	0.046	0.061	0.094	2	M1102	0.051	M244	TRUE	0.1 < p < 0.25	10
2493	PP1	0.034	0.047	0.082	0.048	0.057	0.062	0.069	0.037	0.059	0.066	0.061	0.069	0.055	0.057	0.084	0.056	0.057	2	M815	0.057	M831	TRUE	p < 0.1	10
3544	M831	0.046	0.038	0.053	0.062	0.048	0.04	0.079	0.053	0.03	0.105	0.044	0.054	0.05	0.056	0.12	0.062	0.062	2	M1975	0.053	M831	TRUE	0.1 < p < 0.25	10
2396	M1551	0.037	0.049	0.044	0.058	0.093	0.053	0.05	0.07	0.096	0.03	0.072	0.061	0.073	0.054	0.059	0.045	0.056	2	M815	0.054	M1979	TRUE	p < 0.1	10
2141	M831	0.052	0.053	0.059	0.054	0.045	0.062	0.046	0.113	0.095	0.043	0.072	0.062	0.062	0.043	0.055	0.046	0.039	2	M1079	0.053	M1975	TRUE	0.1 < p < 0.25	10
3241	M831	0.028	0.044	0.053	0.097	0.071	0.042	0.086	0.039	0.028	0.073	0.061	0.053	0.046	0.057	0.085	0.055	0.083	2	M1102	0.053	M1106	TRUE	p < 0.1	10
3271	M831	0.028	0.03	0.05	0.079	0.065	0.055	0.074	0.04	0.034	0.065	0.056	0.082	0.058	0.087	0.079	0.051	0.066	2	M809	0.056	M815	TRUE	p < 0.1	10
2998	M244	0.049	0.074	0.059	0.052	0.051	0.063	0.057	0.08	0.094	0.066	0.051	0.045	0.046	0.044	0.074	0.05	0.046	2	M1112	0.051	M1979	TRUE	p < 0.1	10
1115	M1975	0.077	0.073	0.058	0.057	0.068	0.055	0.056	0.065	0.053	0.061	0.05	0.047	0.048	0.051	0.071	0.058	0.051	2	M1551	0.056	CXSGT	TRUE	p < 0.1	10
1900	M809	0.041	0.046	0.054	0.039	0.074	0.066	0.066	0.03	0.049	0.065	0.069	0.083	0.053	0.09	0.06	0.067	0.05	2	M1102	0.054	M815	TRUE	p < 0.1	10
3437	M813	0.047	0.036	0.052	0.051	0.057	0.087	0.059	0.056	0.039	0.049	0.061	0.053	0.062	0.056	0.055	0.061	0.119	2	M831	0.055	PP3	TRUE	0.1 < p < 0.25	10
578	PP1	0.026	0.038	0.044	0.074	0.052	0.065	0.069	0.058	0.074	0.06	0.074	0.07	0.057	0.049	0.069	0.055	0.068	2	M1975	0.058	M1106	TRUE	p < 0.1	10
2496	M1113	0.051	0.052	0.06	0.053	0.064	0.063	0.064	0.071	0.056	0.054	0.061	0.066	0.063	0.067	0.065	0.046	0.045	2	M1102	0.06	M1975	TRUE	p < 0.1	10
3280	M831	0.053	0.046	0.069	0.068	0.052	0.057	0.055	0.051	0.035	0.064	0.077	0.055	0.076	0.062	0.068	0.057	0.055	2	M1551	0.055	M809	TRUE	p < 0.1	10
2632	M1106	0.029	0.033	0.055	0.077	0.044	0.072	0.071	0.046	0.04	0.064	0.085	0.052	0.071	0.063	0.063	0.064	0.073	2	M831	0.063	M809	TRUE	p < 0.1	10
1808	M1975	0.027	0.071	0.049	0.09	0.044	0.036	0.039	0.179	0.091	0.053	0.035	0.036	0.039	0.043	0.048	0.053	0.066	2	M1112	0.044	M1975	TRUE	0.1 < p < 0.25	10
3832	M1113	0.059	0.034	0.048	0.06	0.066	0.063	0.056	0.036	0.059	0.067	0.075	0.067	0.065	0.053	0.069	0.071	0.052	2	CXSGT	0.059	M809	TRUE	p < 0.1	10
2332	M244	0.041	0.044	0.062	0.044	0.044	0.044	0.068	0.042	0.036	0.202	0.059	0.049	0.043	0.044	0.09	0.039	0.046	2	M1112	0.044	M244	TRUE	0.1 < p < 0.25	10
1616	M831	0.04	0.04	0.045	0.071	0.074	0.055	0.071	0.066	0.06	0.041	0.073	0.058	0.063	0.063	0.072	0.049	0.06	2	PP3	0.06	M1112	TRUE	p < 0.1	10
1397	PP1	0.067	0.496	0.029	0.025	0.028	0.029	0.027	0.036	0.024	0.035	0.03	0.033	0.028	0.027	0.025	0.03	0.031	2	M1113	0.029	M1079	TRUE	0.25 < p < 0.5	10
3540	M831	0.036	0.043	0.062	0.055	0.06	0.07	0.065	0.046	0.049	0.072	0.071	0.072	0.057	0.059	0.076	0.051	0.056	2	M813	0.057	M831	TRUE	p < 0.1	10
3185	M1102	0.049	0.119	0.058	0.057	0.048	0.063	0.047	0.054	0.067	0.045	0.056	0.053	0.056	0.053	0.046	0.06	0.069	2	M1975	0.054	M1079	TRUE	0.1 < p < 0.25	10
3325	M813	0.03	0.034	0.06	0.063	0.06	0.057	0.068	0.063	0.061	0.062	0.082	0.058	0.064	0.072	0.059	0.054	0.054	2	M1112	0.06	M809	TRUE	p < 0.1	10
3340	M1975	0.024	0.075	0.044	0.037	0.032	0.03	0.038	0.223	0.205	0.034	0.035	0.034	0.037	0.035	0.039	0.032	0.047	2	M809	0.035	M1975	TRUE	0.1 < p < 0.25	10
1073	M1975	0.044	0.085	0.054	0.055	0.043	0.046	0.053	0.113	0.084	0.045	0.057	0.037	0.051	0.037	0.048	0.058	0.089	2	M813	0.051	M1975	TRUE	0.1 < p < 0.25	10
378	M811	0.044	0.037	0.074	0.045	0.061	0.051	0.072	0.103	0.069	0.079	0.059	0.053	0.053	0.053	0.068	0.044	0.035	2	M813	0.053	M1975	TRUE	0.1 < p < 0.25	10
3503	M831	0.055	0.059	0.061	0.066	0.053	0.062	0.069	0.055	0.037	0.08	0.061	0.059	0.059	0.051	0.071	0.049	0.054	2	M813	0.059	M244	TRUE	p < 0.1	10
