idind	idcol	CXSGT	M1079	M1102	M1106	M1112	M1113	M1551	M1975	M1979	M244	M809	M811	M813	M815	M831	PP1	PP3	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
100	M831	0.038	0.042	0.054	0.061	0.048	0.055	0.059	0.112	0.09	0.055	0.059	0.046	0.049	0.064	0.058	0.05	0.058	2	M1975	0.112	M1975	TRUE	0.1 < p < 0.25	1
3514	M831	0.034	0.025	0.05	0.064	0.059	0.062	0.066	0.04	0.029	0.118	0.057	0.065	0.067	0.068	0.068	0.062	0.066	2	M244	0.118	M244	TRUE	0.1 < p < 0.25	1
3505	M831	0.036	0.034	0.061	0.051	0.05	0.048	0.071	0.032	0.096	0.071	0.049	0.06	0.048	0.045	0.131	0.057	0.058	2	M831	0.131	M831	FALSE	0.1 < p < 0.25	1
128	M831	0.079	0.046	0.057	0.044	0.064	0.075	0.057	0.048	0.045	0.051	0.081	0.057	0.067	0.068	0.075	0.051	0.034	2	M809	0.081	M809	TRUE	p < 0.1	1
1614	M831	0.044	0.028	0.05	0.045	0.056	0.087	0.061	0.037	0.037	0.088	0.078	0.047	0.099	0.046	0.095	0.065	0.037	2	M813	0.099	M813	TRUE	p < 0.1	1
2387	M1551	0.037	0.06	0.085	0.065	0.065	0.054	0.084	0.041	0.032	0.045	0.06	0.066	0.051	0.048	0.09	0.052	0.066	2	M831	0.09	M831	TRUE	p < 0.1	1
1564	M1079	0.039	0.045	0.089	0.068	0.064	0.048	0.107	0.038	0.031	0.061	0.064	0.073	0.066	0.044	0.064	0.045	0.053	2	M1551	0.107	M1551	TRUE	0.1 < p < 0.25	1
2617	M1106	0.044	0.029	0.064	0.047	0.07	0.061	0.065	0.044	0.058	0.051	0.085	0.054	0.078	0.054	0.069	0.065	0.064	2	M809	0.085	M809	TRUE	p < 0.1	1
1775	M1106	0.058	0.066	0.061	0.082	0.046	0.05	0.075	0.038	0.036	0.08	0.044	0.057	0.053	0.047	0.058	0.071	0.078	2	M1106	0.082	M1106	FALSE	p < 0.1	1
18	M1979	0.044	0.055	0.037	0.033	0.029	0.027	0.035	0.103	0.37	0.035	0.032	0.031	0.032	0.028	0.039	0.034	0.037	2	M1979	0.37	M1979	FALSE	0.25 < p < 0.5	1
