idind	idcol	Thu20	Thu21	Thu22	Thu23	Thu24	Thu25	Thu26	Thu27	Thu28	Thu29	Thu30	Thu31	Thu32	Thu33	Thu34	Thu35	Thu36	Thu37	Thu38	Thu39	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
79	Thu20	0.033	0.062	0.04	0.066	0.069	0.02	0.039	0.039	0.016	0.021	0.011	0.014	0.037	0.106	0.057	0.176	0.022	0.064	0.075	0.033	7	Thu35	0.176	Thu35	TRUE	0.1 < p < 0.25	1
82	Thu26	0.056	0.017	0.064	0.061	0.057	0.056	0.044	0.042	0.027	0.036	0.019	0.033	0.055	0.053	0.151	0.037	0.027	0.074	0.05	0.041	7	Thu34	0.151	Thu34	TRUE	0.1 < p < 0.25	1
86	Thu29	0.065	0.035	0.045	0.2	0.017	0.027	0.047	0.034	0.012	0.101	0.018	0.031	0.024	0.05	0.084	0.008	0.026	0.066	0.053	0.058	7	Thu23	0.2	Thu23	TRUE	0.1 < p < 0.25	1
91	Thu32	0.049	0.007	0.034	0.092	0.008	0.041	0.041	0.085	0.008	0.031	0.007	0.008	0.053	0.058	0.164	0.007	0.031	0.151	0.036	0.089	7	Thu34	0.164	Thu34	TRUE	0.1 < p < 0.25	1
92	Thu32	0.046	0.007	0.035	0.073	0.008	0.023	0.054	0.086	0.008	0.028	0.007	0.008	0.035	0.04	0.255	0.008	0.043	0.144	0.031	0.062	7	Thu34	0.255	Thu34	TRUE	0.25 < p < 0.5	1
93	Thu32	0.017	0.005	0.095	0.068	0.011	0.011	0.019	0.293	0.004	0.032	0.005	0.007	0.098	0.045	0.041	0.01	0.114	0.066	0.03	0.028	7	Thu27	0.293	Thu27	TRUE	0.25 < p < 0.5	1
97	Thu32	0.018	0.006	0.044	0.048	0.029	0.041	0.02	0.115	0.009	0.021	0.008	0.031	0.226	0.062	0.024	0.005	0.167	0.076	0.019	0.031	7	Thu32	0.226	Thu32	FALSE	0.1 < p < 0.25	1
98	Thu32	0.031	0.006	0.032	0.045	0.011	0.021	0.02	0.049	0.006	0.027	0.006	0.007	0.106	0.177	0.017	0.007	0.159	0.124	0.097	0.053	7	Thu33	0.177	Thu33	TRUE	0.1 < p < 0.25	1
102	Thu26	0.072	0.012	0.046	0.055	0.023	0.048	0.037	0.06	0.019	0.062	0.014	0.017	0.035	0.053	0.149	0.014	0.04	0.125	0.063	0.056	7	Thu34	0.149	Thu34	TRUE	0.1 < p < 0.25	1
104	Thu33	0.023	0.009	0.084	0.101	0.009	0.013	0.028	0.018	0.01	0.047	0.01	0.015	0.044	0.026	0.013	0.026	0.448	0.027	0.031	0.018	7	Thu36	0.448	Thu36	TRUE	0.25 < p < 0.5	1
106	Thu26	0.046	0.005	0.19	0.114	0.015	0.016	0.117	0.033	0.004	0.04	0.005	0.009	0.043	0.089	0.032	0.028	0.062	0.04	0.074	0.039	7	Thu22	0.19	Thu22	TRUE	0.1 < p < 0.25	1
111	Thu39	0.097	0.005	0.142	0.198	0.006	0.021	0.129	0.017	0.004	0.045	0.005	0.011	0.034	0.027	0.028	0.007	0.109	0.043	0.028	0.043	7	Thu23	0.198	Thu23	TRUE	0.1 < p < 0.25	1
113	Thu22	0.037	0.006	0.384	0.097	0.02	0.015	0.028	0.035	0.006	0.075	0.005	0.006	0.024	0.038	0.032	0.008	0.045	0.056	0.047	0.036	7	Thu22	0.384	Thu22	FALSE	0.25 < p < 0.5	1
115	Thu37	0.046	0.01	0.111	0.285	0.006	0.031	0.034	0.036	0.01	0.066	0.01	0.011	0.033	0.048	0.027	0.012	0.068	0.053	0.036	0.065	7	Thu23	0.285	Thu23	TRUE	0.25 < p < 0.5	1
116	Thu20	0.104	0.006	0.107	0.156	0.008	0.045	0.103	0.034	0.006	0.111	0.006	0.006	0.028	0.024	0.045	0.005	0.104	0.035	0.016	0.051	7	Thu23	0.156	Thu23	TRUE	0.1 < p < 0.25	1
127	Thu22	0.062	0.011	0.136	0.017	0.009	0.032	0.153	0.03	0.009	0.034	0.008	0.016	0.031	0.059	0.017	0.088	0.044	0.116	0.051	0.077	7	Thu26	0.153	Thu26	TRUE	0.1 < p < 0.25	1
130	Thu33	0.038	0.004	0.087	0.067	0.007	0.08	0.022	0.035	0.004	0.041	0.005	0.007	0.152	0.061	0.032	0.013	0.189	0.062	0.043	0.05	7	Thu36	0.189	Thu36	TRUE	0.1 < p < 0.25	1
132	Thu34	0.061	0.009	0.111	0.033	0.015	0.014	0.192	0.059	0.006	0.06	0.008	0.006	0.021	0.033	0.154	0.021	0.045	0.069	0.05	0.034	7	Thu26	0.192	Thu26	TRUE	0.1 < p < 0.25	1
135	Thu33	0.034	0.006	0.096	0.102	0.008	0.052	0.022	0.028	0.006	0.046	0.007	0.01	0.097	0.05	0.029	0.012	0.236	0.057	0.055	0.046	7	Thu36	0.236	Thu36	TRUE	0.1 < p < 0.25	1
138	Thu37	0.059	0.009	0.06	0.206	0.009	0.038	0.026	0.047	0.009	0.03	0.008	0.007	0.036	0.106	0.069	0.051	0.077	0.062	0.048	0.045	7	Thu23	0.206	Thu23	TRUE	0.1 < p < 0.25	1
146	Thu32	0.022	0.004	0.181	0.064	0.009	0.02	0.027	0.016	0.004	0.044	0.004	0.005	0.038	0.071	0.048	0.013	0.135	0.12	0.15	0.024	7	Thu22	0.181	Thu22	TRUE	0.1 < p < 0.25	1
150	Thu32	0.047	0.006	0.107	0.2	0.015	0.031	0.081	0.075	0.006	0.029	0.006	0.009	0.05	0.057	0.099	0.017	0.024	0.04	0.034	0.069	7	Thu23	0.2	Thu23	TRUE	0.1 < p < 0.25	1
151	Thu34	0.048	0.012	0.209	0.129	0.011	0.018	0.101	0.016	0.009	0.035	0.011	0.006	0.015	0.043	0.208	0.009	0.052	0.024	0.024	0.022	7	Thu22	0.209	Thu22	TRUE	0.1 < p < 0.25	1
152	Thu23	0.09	0.008	0.297	0.088	0.013	0.015	0.105	0.019	0.007	0.031	0.007	0.019	0.022	0.049	0.023	0.027	0.048	0.043	0.06	0.029	7	Thu22	0.297	Thu22	TRUE	0.25 < p < 0.5	1
154	Thu38	0.02	0.006	0.126	0.108	0.011	0.011	0.05	0.068	0.006	0.019	0.006	0.008	0.039	0.067	0.043	0.012	0.256	0.052	0.049	0.043	7	Thu36	0.256	Thu36	TRUE	0.25 < p < 0.5	1
156	Thu20	0.041	0.004	0.173	0.11	0.007	0.016	0.228	0.019	0.004	0.011	0.004	0.006	0.022	0.02	0.222	0.009	0.035	0.029	0.019	0.023	7	Thu26	0.228	Thu26	TRUE	0.1 < p < 0.25	1
160	Thu35	0.009	0.006	0.009	0.009	0.005	0.007	0.008	0.01	0.006	0.008	0.006	0.006	0.008	0.008	0.011	0.844	0.014	0.01	0.008	0.008	7	Thu35	0.844	Thu35	FALSE	p > 0.5	1
161	Thu35	0.01	0.005	0.009	0.009	0.005	0.008	0.008	0.01	0.005	0.008	0.005	0.006	0.008	0.008	0.009	0.847	0.012	0.01	0.01	0.009	7	Thu35	0.847	Thu35	FALSE	p > 0.5	1
162	Thu35	0.01	0.005	0.009	0.009	0.006	0.01	0.007	0.01	0.005	0.009	0.005	0.006	0.009	0.009	0.008	0.845	0.009	0.009	0.009	0.01	7	Thu35	0.845	Thu35	FALSE	p > 0.5	1
169	Thu35	0.009	0.005	0.009	0.008	0.005	0.01	0.007	0.011	0.005	0.009	0.005	0.006	0.009	0.008	0.009	0.847	0.01	0.009	0.008	0.009	7	Thu35	0.847	Thu35	FALSE	p > 0.5	1
170	Thu35	0.013	0.006	0.01	0.009	0.006	0.015	0.009	0.013	0.006	0.011	0.005	0.006	0.01	0.012	0.011	0.808	0.01	0.013	0.012	0.013	7	Thu35	0.808	Thu35	FALSE	p > 0.5	1
171	Thu33	0.035	0.005	0.043	0.051	0.006	0.108	0.023	0.103	0.006	0.019	0.006	0.025	0.022	0.064	0.03	0.202	0.088	0.079	0.023	0.062	7	Thu35	0.202	Thu35	TRUE	0.1 < p < 0.25	1
175	Thu20	0.073	0.009	0.04	0.451	0.006	0.053	0.031	0.018	0.007	0.057	0.01	0.008	0.027	0.015	0.075	0.007	0.016	0.028	0.013	0.056	7	Thu23	0.451	Thu23	TRUE	0.25 < p < 0.5	1
177	Thu29	0.084	0.051	0.055	0.3	0.007	0.044	0.05	0.011	0.033	0.057	0.061	0.018	0.013	0.014	0.094	0.009	0.014	0.022	0.017	0.048	7	Thu23	0.3	Thu23	TRUE	0.25 < p < 0.5	1
180	Thu20	0.077	0.008	0.033	0.235	0.005	0.048	0.032	0.03	0.007	0.045	0.008	0.014	0.025	0.029	0.074	0.032	0.041	0.087	0.039	0.132	7	Thu23	0.235	Thu23	TRUE	0.1 < p < 0.25	1
186	Thu36	0.061	0.05	0.067	0.066	0.009	0.035	0.057	0.03	0.029	0.061	0.032	0.046	0.069	0.046	0.09	0.016	0.043	0.058	0.061	0.074	7	Thu34	0.09	Thu34	TRUE	p < 0.1	1
187	Thu20	0.074	0.008	0.048	0.17	0.007	0.086	0.068	0.028	0.007	0.074	0.008	0.009	0.032	0.03	0.14	0.007	0.025	0.05	0.026	0.104	7	Thu23	0.17	Thu23	TRUE	0.1 < p < 0.25	1
188	Thu36	0.035	0.01	0.063	0.297	0.008	0.026	0.029	0.025	0.009	0.053	0.01	0.016	0.041	0.047	0.039	0.008	0.076	0.058	0.08	0.073	7	Thu23	0.297	Thu23	TRUE	0.25 < p < 0.5	1
189	Thu23	0.036	0.026	0.023	0.06	0.009	0.028	0.022	0.02	0.022	0.032	0.019	0.065	0.129	0.056	0.041	0.111	0.118	0.07	0.067	0.046	7	Thu32	0.129	Thu32	TRUE	0.1 < p < 0.25	1
190	Thu37	0.068	0.007	0.045	0.118	0.008	0.125	0.027	0.042	0.006	0.063	0.007	0.01	0.063	0.048	0.103	0.019	0.031	0.075	0.044	0.093	7	Thu25	0.125	Thu25	TRUE	0.1 < p < 0.25	1
191	Thu39	0.062	0.011	0.032	0.042	0.008	0.032	0.032	0.036	0.012	0.045	0.011	0.013	0.22	0.064	0.021	0.01	0.191	0.057	0.031	0.069	7	Thu32	0.22	Thu32	TRUE	0.1 < p < 0.25	1
198	Thu33	0.063	0.008	0.063	0.115	0.007	0.078	0.03	0.075	0.007	0.062	0.007	0.008	0.051	0.064	0.106	0.017	0.046	0.068	0.041	0.083	7	Thu23	0.115	Thu23	TRUE	0.1 < p < 0.25	1
206	Thu22	0.159	0.009	0.186	0.057	0.008	0.021	0.141	0.02	0.007	0.053	0.007	0.019	0.016	0.026	0.061	0.036	0.035	0.061	0.04	0.037	7	Thu22	0.186	Thu22	FALSE	0.1 < p < 0.25	1
210	Thu22	0.08	0.01	0.06	0.026	0.006	0.065	0.045	0.041	0.01	0.032	0.009	0.005	0.042	0.051	0.295	0.008	0.09	0.059	0.019	0.049	7	Thu34	0.295	Thu34	TRUE	0.25 < p < 0.5	1
212	Thu27	0.052	0.006	0.046	0.046	0.005	0.068	0.021	0.152	0.006	0.027	0.005	0.01	0.019	0.042	0.058	0.044	0.224	0.098	0.023	0.047	7	Thu36	0.224	Thu36	TRUE	0.1 < p < 0.25	1
215	Thu37	0.078	0.014	0.047	0.076	0.033	0.044	0.023	0.06	0.011	0.088	0.013	0.008	0.045	0.061	0.091	0.018	0.108	0.058	0.065	0.06	7	Thu36	0.108	Thu36	TRUE	0.1 < p < 0.25	1
217	Thu20	0.059	0.061	0.076	0.096	0.01	0.028	0.069	0.03	0.053	0.045	0.05	0.018	0.031	0.041	0.096	0.015	0.103	0.042	0.027	0.049	7	Thu36	0.103	Thu36	TRUE	0.1 < p < 0.25	1
