idind	rha101	rha101b	rha109	rha109b	rha4	rha4b	rha7	rha7b	rhc108	rhc108b	rhc3	rhc3b	rhd102	rhd102b	rhd103	rhd103b	idcol	sexe	ageWhenFirstCaptur	yearWhenFirstCaptur	col2015_1	col2015_2	col2016_1	col2016_2	col2017_1	col2017_2
140	134	134	183	186	288	290	226	228	215	220	169	177	243	247	220	220	Thu22	M	Juv	2017	NA	NA	NA	NA	NA	Thu22
141	134	134	183	186	288	290	226	228	215	215	169	177	243	247	220	220	Thu22	M	Juv	2017	NA	NA	NA	NA	NA	Thu22
142	134	134	183	186	288	290	226	228	214	218	169	177	243	247	220	224	Thu39	M	Juv	2017	NA	NA	NA	NA	NA	Thu39
143	134	134	183	186	288	290	226	228	218	218	169	177	247	263	220	228	Thu26	M	Juv	2017	NA	NA	NA	NA	NA	Thu26
144	134	134	183	186	288	290	226	228	0	0	169	169	247	247	220	228	Thu22	M	Juv	2017	NA	NA	NA	NA	NA	Thu22
145	134	134	183	186	288	290	228	228	215	224	169	177	247	259	224	224	Thu32	M	Juv	2016	NA	NA	NA	Thu32	NA	NA
146	134	134	183	186	288	290	228	228	214	224	169	177	243	270	220	224	Thu32	M	Adult	2016	NA	NA	Thu32	NA	NA	NA
147	134	134	183	186	288	290	228	228	214	214	177	177	247	247	216	220	Thu32	M	Juv	2015	NA	Thu32	NA	NA	NA	NA
148	134	134	183	186	288	290	228	228	0	0	169	169	247	259	224	224	Thu37	M	Juv	2017	NA	NA	NA	NA	NA	Thu37
150	134	134	183	186	268	288	226	228	0	0	177	177	247	251	220	220	Thu32	M	Adult	2017	NA	NA	NA	NA	Thu32	NA
151	134	134	183	186	268	288	226	228	214	214	169	169	255	255	224	228	Thu34	M	Adult	2016	NA	NA	Thu34	Thu34	NA	Thu34
152	134	134	183	186	268	288	228	228	215	218	169	169	243	251	220	236	Thu23	M	Adult	2015	Thu23	Thu23	Thu23	NA	NA	NA
153	134	134	183	186	288	288	235	235	0	0	177	177	255	259	220	220	Thu36	M	Juv	2017	NA	NA	NA	NA	NA	Thu36
154	134	134	183	186	288	288	226	226	218	218	169	177	243	259	220	224	Thu38	M	Adult	2015	Thu38	NA	NA	NA	NA	NA
155	134	134	183	186	288	288	228	237	0	0	169	177	243	243	220	228	Thu23	M	Juv	2017	NA	NA	NA	NA	NA	Thu23
156	134	134	183	186	288	288	228	228	214	214	177	177	263	263	220	224	Thu20	M	Adult	2016	NA	NA	Thu20	NA	NA	NA
157	134	134	183	186	268	286	226	226	215	215	169	169	251	251	216	224	Thu33	M	Juv	2017	NA	NA	NA	NA	NA	Thu33
158	134	134	183	186	286	286	226	228	0	0	0	0	247	247	224	224	Thu33	M	Juv	2017	NA	NA	NA	NA	NA	Thu33
159	134	134	186	188	268	288	229	229	215	215	169	169	238	238	208	220	Thu35	M	Juv	2017	NA	NA	NA	NA	NA	Thu35
160	134	134	186	188	268	288	229	229	0	0	169	169	259	259	220	224	Thu35	M	Adult	2017	NA	NA	NA	NA	Thu35	NA
161	134	134	186	188	268	288	228	229	215	215	169	169	251	259	220	224	Thu35	M	Adult	2017	NA	NA	NA	NA	Thu35	NA
162	134	134	186	188	268	288	228	229	215	215	169	169	247	251	208	220	Thu35	M	Adult	2017	NA	NA	NA	NA	Thu35	NA
163	134	134	186	188	288	288	228	229	0	0	169	169	247	251	220	224	Thu35	M	Juv	2017	NA	NA	NA	NA	NA	Thu35
164	134	134	186	188	268	286	229	229	212	215	169	169	251	251	212	220	Thu35	M	Juv	2016	NA	NA	NA	Thu35	NA	NA
165	134	134	186	188	268	286	228	229	215	215	169	169	251	251	220	220	Thu35	M	Juv	2016	NA	NA	NA	Thu35	NA	NA
167	134	134	186	188	286	288	228	228	215	215	169	169	251	251	212	224	Thu35	M	Juv	2017	NA	NA	NA	NA	NA	Thu35
