"offspring" "father" "mother" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35"
1152 NA 156 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 186 265 265 229 237 211 211 169 173 247 255 216 220
3663 NA 156 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 186 265 265 229 237 211 211 169 173 247 255 216 220
665 NA 156 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 186 265 265 229 237 211 211 169 173 247 255 216 220
1951 NA 156 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 138 175 186 265 265 229 237 211 211 169 173 247 255 216 220
2854 NA 159 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 186 188 268 284 233 239 211 216 169 169 243 255 220 224
2875 NA 159 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 186 188 268 284 233 239 211 216 169 169 243 255 220 224
2633 NA 161 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 177 188 268 268 228 237 211 216 169 169 251 255 216 224
823 NA 161 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 177 188 268 268 228 237 211 216 169 169 251 255 216 224
2627 NA 161 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 125 136 177 188 268 268 228 237 211 216 169 169 251 255 216 224
3642 NA 168 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 148 175 177 288 290 237 241 211 216 169 173 247 255 220 228
206 NA 177 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 268 288 229 237 211 220 169 169 243 251 220 232
1977 NA 177 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 136 136 175 186 268 288 229 237 211 220 169 169 243 251 220 232
1656 NA 185 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 175 183 268 286 228 233 220 222 169 173 259 259 212 216
3619 NA 185 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 175 183 268 286 228 233 220 222 169 173 259 259 212 216
466 NA 196 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 175 175 288 288 228 229 207 216 169 173 247 259 216 216
1156 NA 196 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 134 136 175 175 288 288 228 229 207 216 169 173 247 259 216 216
