"offspring" "father" "colonyOffsp" "colonyFather" "yearOffsp" "yearFather" "ageFather" "sexOffsp" "y2013_1" "y2013_2" "y2014_1" "y2014_2" "y2015_1" "y2015_2" "y2016_1" "y2016_2"
547 357 "M811" "M811" "2013" "2013" "Adult" "F" "M811" "M811" "M811" "M811" "M811" "M811" "M811" "M811"
606 367 "M811" "M811" "2013" "2013" "Adult" "F" "M811" NA NA NA NA NA NA NA
3150 369 "M811" "M811" "2015" "2013" "Adult" "F" "M811" "M811" "M811" "M811" "M811" "M811" "M811" "M811"
2200 369 "M811" "M811" "2014" "2013" "Adult" "F" "M811" "M811" "M811" "M811" "M811" "M811" "M811" "M811"
2214 373 "M811" "M811" "2014" "2013" "Adult" "F" "M811" "M811" NA "M811" NA NA "M811" NA
2178 375 "M811" "M811" "2014" "2013" "Adult" "F" "M811" NA NA NA NA NA NA NA
2945 395 "M813" "M813" "2015" "2013" "Adult" "M" "M813" "M813" "M813" "M813" "M813" "M813" "M813" NA
1734 395 "M813" "M813" "2014" "2013" "Adult" "F" "M813" "M813" "M813" "M813" "M813" "M813" "M813" NA
3401 404 "M813" "M813" "2016" "2013" "Juv" "F" NA "M813" NA NA NA NA NA NA
2920 404 "M813" "M813" "2015" "2013" "Juv" "M" NA "M813" NA NA NA NA NA NA
1188 410 "M813" "M813" "2013" "2013" "Adult" "F" "M813" "M813" "M813" "M813" "M813" NA NA NA
2683 424 "M1102" "M1102" "2015" "2013" "Juv" "M" NA "M1102" NA NA NA NA "M1102" NA
3412 426 "M813" "M813" "2016" "2013" "Juv" "F" NA "M813" NA "M813" "M813" "M813" "M813" "M813"
347 431 "M811" "M811" "2013" "2013" "Adult" "F" "M811" NA NA "M811" NA "M811" "M811" "M811"
2196 431 "M811" "M811" "2014" "2013" "Adult" "M" "M811" NA NA "M811" NA "M811" "M811" "M811"
4010 431 "M811" "M811" "2016" "2013" "Adult" "F" "M811" NA NA "M811" NA "M811" "M811" "M811"
537 441 "M811" "M811" "2013" "2013" "Adult" "F" "M811" "M811" NA NA NA NA NA "M811"
597 449 "M811" "M811" "2013" "2013" "Adult" "M" "M811" NA "M811" "M811" NA NA "M811" "M811"
2187 449 "M811" "M811" "2014" "2013" "Adult" "F" "M811" NA "M811" "M811" NA NA "M811" "M811"
3998 453 "M811" "M811" "2016" "2013" "Adult" "F" "M811" "M811" "M811" NA "M811" "M811" "M811" "M811"
2201 453 "M811" "M811" "2014" "2013" "Adult" "M" "M811" "M811" "M811" NA "M811" "M811" "M811" "M811"
3130 453 "M811" "M811" "2015" "2013" "Adult" "F" "M811" "M811" "M811" NA "M811" "M811" "M811" "M811"
548 453 "M811" "M811" "2013" "2013" "Adult" "M" "M811" "M811" "M811" NA "M811" "M811" "M811" "M811"
2030 491 "M244" "M244" "2014" "2013" "Adult" "F" "M244" "M244" NA "M244" NA "M244" NA NA
2051 494 "M244" "M244" "2014" "2013" "Adult" "F" "M244" NA NA "M244" NA "M244" NA NA
769 494 "M244" "M244" "2013" "2013" "Adult" "M" "M244" NA NA "M244" NA "M244" NA NA
3718 494 "M244" "M244" "2016" "2013" "Adult" "F" "M244" NA NA "M244" NA "M244" NA NA
2014 505 "M244" "M244" "2014" "2013" "Adult" "F" "M244" NA NA NA NA "M244" NA "M244"
3717 505 "M244" "M244" "2016" "2013" "Adult" "F" "M244" NA NA NA NA "M244" NA "M244"
729 505 "M244" "M244" "2013" "2013" "Adult" "M" "M244" NA NA NA NA "M244" NA "M244"
2011 508 "M244" "M244" "2014" "2013" "Adult" "F" "M244" NA NA "M244" NA "M244" NA NA
3086 516 "M244" "M244" "2015" "2013" "Adult" "F" "M244" NA NA NA "M244" NA "M244" NA
3716 516 "M244" "M244" "2016" "2013" "Adult" "F" "M244" NA NA NA "M244" NA "M244" NA
3713 519 "M244" "M244" "2016" "2013" "Adult" "F" "M244" "M244" NA "M244" NA NA NA NA
3098 519 "M244" "M244" "2015" "2013" "Adult" "F" "M244" "M244" NA "M244" NA NA NA NA
2036 519 "M244" "M244" "2014" "2013" "Adult" "F" "M244" "M244" NA "M244" NA NA NA NA
3702 522 "M244" "M244" "2016" "2013" "Adult" "F" "M244" "M244" NA NA "M244" "M244" "M244" NA
2035 522 "M244" "M244" "2014" "2013" "Adult" "F" "M244" "M244" NA NA "M244" "M244" "M244" NA
3984 555 "M811" "M811" "2016" "2013" "Juv" "F" NA "M811" NA NA NA NA NA NA
3148 555 "M811" "M811" "2015" "2013" "Juv" "M" NA "M811" NA NA NA NA NA NA
2181 556 "M811" "M811" "2014" "2013" "Adult" "F" "P412" "P412" NA NA NA NA NA NA
595 556 "M811" "M811" "2013" "2013" "Adult" "M" "P412" "P412" NA NA NA NA NA NA
2010 561 "M244" "M244" "2014" "2013" "Adult" "M" "M244" "M244" NA NA "M244" NA "M244" NA
3095 561 "M244" "M244" "2015" "2013" "Adult" "F" "M244" "M244" NA NA "M244" NA "M244" NA
3709 561 "M244" "M244" "2016" "2013" "Adult" "F" "M244" "M244" NA NA "M244" NA "M244" NA
201 565 "PP1" "PP1" "2013" "2013" "Adult" "M" "PP1" NA "PP1" NA NA NA NA NA
2656 565 "PP1" "PP1" "2015" "2013" "Adult" "M" "PP1" NA "PP1" NA NA NA NA NA
774 581 "M244" "M244" "2013" "2013" "Adult" "F" "M244" "M244" "M244" "M244" NA NA NA "M244"
2022 581 "M244" "M244" "2014" "2013" "Adult" "F" "M244" "M244" "M244" "M244" NA NA NA "M244"
765 585 "M244" "M244" "2013" "2013" "Adult" "M" "M244" NA "M244" NA "M244" NA "M244" "M244"
2807 615 "M1551" "M1551" "2015" "2013" "Adult" "F" "M1551" "M1551" "M1551" NA NA NA "M1551" "M1551"
880 615 "M1551" "M1551" "2013" "2013" "Adult" "M" "M1551" "M1551" "M1551" NA NA NA "M1551" "M1551"
772 616 "M1551" "M1551" "2013" "2013" "Adult" "F" "M1551" "M1551" "M1551" "M1551" "M1551" "M1551" NA NA
2825 616 "M1551" "M1551" "2015" "2013" "Adult" "F" "M1551" "M1551" "M1551" "M1551" "M1551" "M1551" NA NA
885 618 "M1551" "M1551" "2013" "2013" "Adult" "F" "M1551" NA NA NA NA NA NA NA
2787 618 "M1551" "M1551" "2015" "2013" "Adult" "M" "M1551" NA NA NA NA NA NA NA
852 628 "M1551" "M1551" "2013" "2013" "Adult" "F" "M1551" "M1551" "M1551" NA NA NA NA NA
3958 628 "M1551" "M1551" "2016" "2013" "Adult" "M" "M1551" "M1551" "M1551" NA NA NA NA NA
892 631 "M1551" "M1551" "2013" "2013" "Adult" "F" "M1551" "M1551" NA NA NA NA NA NA
2821 631 "M1551" "M1551" "2015" "2013" "Adult" "F" "M1551" "M1551" NA NA NA NA NA NA
3969 631 "M1551" "M1551" "2016" "2013" "Adult" "M" "M1551" "M1551" NA NA NA NA NA NA
846 636 "M1551" "M1551" "2013" "2013" "Adult" "M" "M1551" "M1551" NA NA NA NA NA NA
3955 637 "M1551" "M1551" "2016" "2013" "Adult" "M" "M1551" NA NA NA NA NA NA NA
841 637 "M1551" "M1551" "2013" "2013" "Adult" "F" "M1551" NA NA NA NA NA NA NA
2265 645 "M1551" "M1551" "2014" "2013" "Adult" "F" "M1551" NA NA "M1551" NA "M1551" NA NA
876 645 "M1551" "M1551" "2013" "2013" "Adult" "F" "M1551" NA NA "M1551" NA "M1551" NA NA
2268 645 "M1551" "M1551" "2014" "2013" "Adult" "F" "M1551" NA NA "M1551" NA "M1551" NA NA
2783 645 "M1551" "M1551" "2015" "2013" "Adult" "F" "M1551" NA NA "M1551" NA "M1551" NA NA
2283 650 "M1551" "M1551" "2014" "2013" "Adult" "F" "M1551" "M1551" NA NA "M1551" NA NA NA
3963 657 "M1551" "M1551" "2016" "2013" "Adult" "F" "M1551" NA NA NA NA NA NA "M1551"
879 657 "M1551" "M1551" "2013" "2013" "Adult" "F" "M1551" NA NA NA NA NA NA "M1551"
2260 657 "M1551" "M1551" "2014" "2013" "Adult" "M" "M1551" NA NA NA NA NA NA "M1551"
1061 688 "M1106" "M1106" "2013" "2013" "Adult" "F" "M1106" "M1106" "M1106" NA "M1106" "M1106" NA "M1106"
940 693 "M1106" "M1106" "2013" "2013" "Adult" "F" "M1106" "M1106" NA NA NA NA NA NA
3946 693 "M1106" "M1106" "2016" "2013" "Adult" "M" "M1106" "M1106" NA NA NA NA NA NA
2988 693 "M1106" "M1106" "2015" "2013" "Adult" "M" "M1106" "M1106" NA NA NA NA NA NA
3935 698 "M1106" "M1106" "2016" "2013" "Adult" "F" "M1106" "M1106" NA NA "M1106" NA NA "M1106"
3954 699 "M1106" "M1106" "2016" "2013" "Adult" "F" "M1106" "M1106" "M1106" "M1106" NA NA NA "M1106"
2044 699 "M1106" "M1106" "2014" "2013" "Adult" "M" "M1106" "M1106" "M1106" "M1106" NA NA NA "M1106"
938 699 "M1106" "M1106" "2013" "2013" "Adult" "F" "M1106" "M1106" "M1106" "M1106" NA NA NA "M1106"
1058 707 "M1106" "M1106" "2013" "2013" "Adult" "F" "M1106" NA NA NA NA NA NA NA
2061 718 "M1106" "M1106" "2014" "2013" "Adult" "F" "M1106" "M1106" "M1106" "M1106" "M1106" "M1106" "M1106" NA
965 718 "M1106" "M1106" "2013" "2013" "Adult" "M" "M1106" "M1106" "M1106" "M1106" "M1106" "M1106" "M1106" NA
3035 733 "M1106" "M1106" "2015" "2013" "Adult" "M" "M1106" "M1106" NA NA "PP3" NA NA NA
2047 733 "M1106" "M1106" "2014" "2013" "Adult" "F" "M1106" "M1106" NA NA "PP3" NA NA NA
1005 733 "M1106" "M1106" "2013" "2013" "Adult" "M" "M1106" "M1106" NA NA "PP3" NA NA NA
2069 738 "PP3" "PP3" "2014" "2013" "Adult" "F" "M1106" "M1106" "M1106" "M1106" "PP3" "PP3" "PP3" "M1106"
2716 738 "PP3" "PP3" "2015" "2013" "Adult" "M" "M1106" "M1106" "M1106" "M1106" "PP3" "PP3" "PP3" "M1106"
1204 738 "PP3" "PP3" "2013" "2013" "Adult" "M" "M1106" "M1106" "M1106" "M1106" "PP3" "PP3" "PP3" "M1106"
2064 740 "M1106" "M1106" "2014" "2013" "Adult" "M" "M1106" "M1106" NA "M1106" "PP3" NA NA NA
957 740 "M1106" "M1106" "2013" "2013" "Adult" "F" "M1106" "M1106" NA "M1106" "PP3" NA NA NA
3030 740 "M1106" "M1106" "2015" "2013" "Adult" "M" "M1106" "M1106" NA "M1106" "PP3" NA NA NA
953 751 "M1106" "M1106" "2013" "2013" "Adult" "F" "M1106" "M1106" "M1106" "M1106" "M1106" "M1106" "PP3" "M1106"
3950 752 "M1106" "M1106" "2016" "2013" "Adult" "F" "M1106" "M1106" "M1106" NA NA NA NA NA
1009 752 "M1106" "M1106" "2013" "2013" "Adult" "M" "M1106" "M1106" "M1106" NA NA NA NA NA
2975 752 "M1106" "M1106" "2015" "2013" "Adult" "M" "M1106" "M1106" "M1106" NA NA NA NA NA
2976 754 "M1106" "M1106" "2015" "2013" "Adult" "M" "M1106" "M1106" "M1106" "M1106" "PP3" "M1106" "M1106" NA
941 754 "M1106" "M1106" "2013" "2013" "Adult" "F" "M1106" "M1106" "M1106" "M1106" "PP3" "M1106" "M1106" NA
3443 777 "M815" "M815" "2016" "2013" "Adult" "F" "M815" NA NA NA NA NA NA NA
3058 777 "M815" "M815" "2015" "2013" "Adult" "F" "M815" NA NA NA NA NA NA NA
75 777 "M815" "M815" "2013" "2013" "Adult" "F" "M815" NA NA NA NA NA NA NA
2117 781 "M815" "M815" "2014" "2013" "Adult" "M" "M815" "M815" "M815" NA NA "M815" "M815" "M815"
3441 781 "M815" "M815" "2016" "2013" "Adult" "M" "M815" "M815" "M815" NA NA "M815" "M815" "M815"
820 785 "M815" "M815" "2013" "2013" "Adult" "M" "M815" NA "M815" NA NA "M815" NA "M815"
3447 785 "M815" "M815" "2016" "2013" "Adult" "F" "M815" NA "M815" NA NA "M815" NA "M815"
426 860 "M813" "M813" "2013" "2013" "Adult" "F" "M813" "M813" NA "M813" "M813" NA NA "M813"
3396 860 "M813" "M813" "2016" "2013" "Adult" "F" "M813" "M813" NA "M813" "M813" NA NA "M813"
1914 860 "M813" "M813" "2014" "2013" "Adult" "F" "M813" "M813" NA "M813" "M813" NA NA "M813"
411 872 "M813" "M813" "2013" "2013" "Adult" "F" "M813" "M813" "M813" "M813" NA NA NA "M813"
2951 872 "M813" "M813" "2015" "2013" "Adult" "F" "M813" "M813" "M813" "M813" NA NA NA "M813"
1166 901 "M1113" "M1113" "2013" "2013" "Adult" "F" "M1113" NA "M1113" NA NA NA NA NA
2098 902 "M1113" "M1113" "2014" "2013" "Adult" "F" "M1113" NA NA NA NA NA NA NA
1175 902 "M1113" "M1113" "2013" "2013" "Adult" "F" "M1113" NA NA NA NA NA NA NA
1161 910 "M1113" "M1113" "2013" "2013" "Adult" "M" "M1113" "M1113" NA "M1113" NA "M1113" NA "M1113"
2654 910 "M1113" "M1113" "2015" "2013" "Adult" "M" "M1113" "M1113" NA "M1113" NA "M1113" NA "M1113"
1163 910 "M1113" "M1113" "2013" "2013" "Adult" "F" "M1113" "M1113" NA "M1113" NA "M1113" NA "M1113"
3454 910 "M1113" "M1113" "2016" "2013" "Adult" "F" "M1113" "M1113" NA "M1113" NA "M1113" NA "M1113"
3460 913 "M1113" "M1113" "2016" "2013" "Adult" "F" "M1113" "M1113" NA "M1113" "M1113" "M1113" "M1113" "M1113"
2688 913 "M1113" "M1113" "2015" "2013" "Adult" "F" "M1113" "M1113" NA "M1113" "M1113" "M1113" "M1113" "M1113"
1179 914 "M1113" "M1113" "2013" "2013" "Adult" "M" "M1113" "M1113" NA NA "M1113" "M1113" NA NA
2665 914 "M1113" "M1113" "2015" "2013" "Adult" "M" "M1113" "M1113" NA NA "M1113" "M1113" NA NA
2120 914 "M1113" "M1113" "2014" "2013" "Adult" "F" "M1113" "M1113" NA NA "M1113" "M1113" NA NA
1197 914 "M1113" "M1113" "2013" "2013" "Adult" "M" "M1113" "M1113" NA NA "M1113" "M1113" NA NA
2925 919 "M813" "M813" "2015" "2013" "Adult" "F" "M813" NA "M813" "M813" "M813" NA "M813" NA
3375 919 "M813" "M813" "2016" "2013" "Adult" "M" "M813" NA "M813" "M813" "M813" NA "M813" NA
1720 919 "M813" "M813" "2014" "2013" "Adult" "F" "M813" NA "M813" "M813" "M813" NA "M813" NA
3471 927 "M1113" "M1113" "2016" "2013" "Adult" "F" "M1113" "M1113" "M1113" NA "M1113" "M1113" "M1113" "M1113"
1160 927 "M1113" "M1113" "2013" "2013" "Adult" "F" "M1113" "M1113" "M1113" NA "M1113" "M1113" "M1113" "M1113"
2937 934 "M813" "M813" "2015" "2013" "Adult" "M" "M813" NA "M813" "M813" "M813" NA NA "M813"
1699 934 "M813" "M813" "2014" "2013" "Adult" "F" "M813" NA "M813" "M813" "M813" NA NA "M813"
2785 967 "PP3" "PP3" "2015" "2013" "Adult" "F" "PP3" NA "PP3" NA "PP3" NA NA NA
1241 997 "PP3" "PP3" "2013" "2013" "Adult" "F" "PP3" "PP3" NA "PP3" NA "M1106" NA NA
2091 1011 "CXSGT" "CXSGT" "2014" "2013" "Adult" "F" "CXSGT" "CXSGT" "CXSGT" "CXSGT" NA NA "CXSGT" "CXSGT"
3995 1025 "M809" "M809" "2016" "2013" "Adult" "F" "M809" NA NA NA NA NA NA NA
2309 1025 "M809" "M809" "2014" "2013" "Adult" "F" "M809" NA NA NA NA NA NA NA
3104 1025 "M809" "M809" "2015" "2013" "Adult" "F" "M809" NA NA NA NA NA NA NA
1980 1037 "PP3" "PP3" "2014" "2013" "Adult" "M" "PP3" NA NA NA "PP3" NA "PP3" NA
3502 1037 "PP3" "PP3" "2016" "2013" "Adult" "F" "PP3" NA NA NA "PP3" NA "PP3" NA
1995 1047 "PP3" "PP3" "2014" "2013" "Adult" "F" "PP3" "PP3" NA "PP3" NA NA NA NA
1199 1047 "PP3" "PP3" "2013" "2013" "Adult" "F" "PP3" "PP3" NA "PP3" NA NA NA NA
1997 1047 "PP3" "PP3" "2014" "2013" "Adult" "F" "PP3" "PP3" NA "PP3" NA NA NA NA
1233 1048 "M809" "M809" "2013" "2013" "Adult" "M" "M809" NA NA NA NA NA NA NA
4036 1048 "M809" "M809" "2016" "2013" "Adult" "M" "M809" NA NA NA NA NA NA NA
1242 1053 "PP3" "PP3" "2013" "2013" "Adult" "F" "PP3" "PP3" NA NA "PP3" "PP3" "PP3" NA
3101 1067 "M809" "M809" "2015" "2013" "Adult" "F" "M809" NA "M809" "M809" NA "M809" "M809" NA
4009 1067 "M809" "M809" "2016" "2013" "Adult" "F" "M809" NA "M809" "M809" NA "M809" "M809" NA
2242 1070 "M1975" "M1975" "2014" "2013" "Adult" "F" "M1975" "M1975" NA NA NA NA NA NA
2247 1072 "M1975" "M1975" "2014" "2013" "Adult" "F" "M1975" "M1975" NA "M1975" NA "M1975" "M1975" NA
4043 1072 "M1975" "M1975" "2016" "2013" "Adult" "M" "M1975" "M1975" NA "M1975" NA "M1975" "M1975" NA
1359 1075 "M1975" "M1975" "2013" "2013" "Adult" "M" "M1975" NA "M1975" NA "M1975" NA "M1975" NA
2243 1075 "M1975" "M1975" "2014" "2013" "Adult" "F" "M1975" NA "M1975" NA "M1975" NA "M1975" NA
2231 1085 "M1975" "M1975" "2014" "2013" "Adult" "F" "M1975" NA NA "M1975" NA "M1975" NA NA
2082 1087 "M1975" "M1975" "2014" "2013" "Adult" "M" "M1975" "M1975" NA NA NA NA NA NA
2101 1090 "M1975" "M1975" "2014" "2013" "Adult" "F" "M1975" "M1975" NA "M1975" "M1975" NA "M1975" NA
