idind	rha101	rha101b	rha109	rha109b	rha4	rha4b	rha7	rha7b	rhc108	rhc108b	rhc3	rhc3b	rhd102	rhd102b	rhd103	rhd103b	idcol	sexe	ageWhenFirstCaptur	yearWhenFirstCaptur	col2015_1	col2015_2	col2016_1	col2016_2	col2017_1	col2017_2
28	136	136	186	186	288	290	228	237	214	218	169	177	251	251	212	220	1	F	Adult	2016	NA	NA	NA	NA	NA	NA
30	136	136	186	186	286	288	226	228	214	218	169	177	243	243	220	224	17	F	Juv	2016	NA	NA	NA	NA	NA	NA
31	136	136	175	175	268	290	228	228	0	0	0	0	255	255	212	212	2	F	Juv	2017	NA	NA	NA	NA	NA	NA
32	0	0	186	186	271	293	226	231	0	0	169	169	247	247	220	224	18	F	Adult	2016	NA	NA	NA	NA	NA	NA
33	134	134	186	186	268	288	226	228	215	218	169	169	247	247	212	212	13	M	Adult	2016	NA	NA	NA	NA	NA	NA
34	134	136	186	186	271	288	228	228	0	0	169	169	259	259	220	228	17	M	Adult	2016	NA	NA	NA	NA	NA	NA
35	136	136	186	186	268	288	228	228	215	218	0	0	247	251	220	228	20	M	Adult	2016	NA	NA	NA	NA	NA	NA
36	136	136	186	186	286	286	228	228	0	0	169	169	238	259	220	224	13	M	Juv	2017	NA	NA	NA	NA	NA	NA
37	136	136	186	186	0	0	226	226	215	215	169	169	243	243	224	232	10	M	Adult	2015	NA	NA	NA	NA	NA	NA
38	134	136	177	186	268	288	228	228	214	215	169	177	247	251	220	224	20	F	Juv	2015	NA	NA	NA	NA	NA	NA
39	134	136	186	186	248	274	228	228	228	228	169	169	251	251	212	228	19	F	Adult	2015	NA	NA	NA	NA	NA	NA
40	138	138	177	177	269	269	229	229	0	0	0	0	238	238	216	220	2	F	Juv	2017	NA	NA	NA	NA	NA	NA
41	134	134	186	186	288	290	228	228	215	215	169	177	255	255	212	220	18	F	Juv	2017	NA	NA	NA	NA	NA	NA
42	136	150	186	186	288	288	226	226	215	218	169	177	243	261	220	224	19	F	Adult	2016	NA	NA	NA	NA	NA	NA
43	134	136	186	188	269	269	228	229	0	0	169	169	247	247	216	228	6	F	Juv	2017	NA	NA	NA	NA	NA	NA
44	134	136	177	186	269	290	226	228	0	0	169	177	243	251	212	212	7	F	Adult	2017	NA	NA	NA	NA	NA	NA
45	134	136	186	186	268	288	228	228	214	218	169	177	247	247	212	228	17	F	Adult	2016	NA	NA	NA	NA	NA	NA
46	136	136	186	186	268	268	226	229	228	228	165	181	238	255	212	216	2	F	Juv	2017	NA	NA	NA	NA	NA	NA
47	136	136	186	186	286	288	228	228	0	0	0	0	247	247	224	224	14	F	Juv	2017	NA	NA	NA	NA	NA	NA
48	0	0	186	186	268	288	226	228	214	214	169	169	251	259	212	220	18	F	Juv	2017	NA	NA	NA	NA	NA	NA
49	125	132	186	186	268	288	228	229	212	215	169	169	243	243	212	212	12	M	Adult	2016	NA	NA	NA	NA	NA	NA
50	125	125	183	183	288	288	228	228	215	218	177	177	243	255	220	220	13	M	Juv	2016	NA	NA	NA	NA	NA	NA
51	125	125	186	190	290	293	226	228	215	218	169	169	255	255	220	224	3	M	Juv	2017	NA	NA	NA	NA	NA	NA
52	125	125	186	190	268	288	228	228	215	215	169	169	238	238	220	224	1	M	Juv	2015	NA	NA	NA	NA	NA	NA
53	125	125	186	190	288	288	226	237	218	218	169	169	243	255	212	220	13	M	Juv	2016	NA	NA	NA	NA	NA	NA
55	125	125	183	186	288	290	228	228	215	224	173	177	247	259	220	224	13	M	Adult	2016	NA	NA	NA	NA	NA	NA
56	125	125	186	186	268	290	228	235	214	214	169	169	243	243	212	220	17	M	Juv	2017	NA	NA	NA	NA	NA	NA
57	125	125	186	186	268	290	226	228	215	218	169	177	247	259	220	220	13	M	Adult	2016	NA	NA	NA	NA	NA	NA
58	125	125	186	186	268	290	226	228	214	218	173	173	243	247	212	220	14	M	Juv	2017	NA	NA	NA	NA	NA	NA
59	125	125	186	186	268	268	226	228	218	218	169	169	243	243	224	224	18	M	Adult	2015	NA	NA	NA	NA	NA	NA
60	125	125	186	186	288	290	228	237	214	214	169	177	247	247	212	220	18	M	Juv	2016	NA	NA	NA	NA	NA	NA
61	125	125	186	186	268	288	228	229	215	218	169	169	238	243	212	212	12	M	Juv	2015	NA	NA	NA	NA	NA	NA
62	125	125	186	186	268	288	228	228	214	220	169	169	247	247	212	220	13	M	Juv	2016	NA	NA	NA	NA	NA	NA
63	125	125	186	186	268	288	228	228	214	218	169	177	238	243	212	220	17	M	Juv	2017	NA	NA	NA	NA	NA	NA
64	125	125	186	186	288	288	235	237	215	218	169	169	238	243	212	212	13	M	Adult	2016	NA	NA	NA	NA	NA	NA
65	125	125	186	186	288	288	226	237	218	218	169	169	238	243	220	224	13	M	Adult	2016	NA	NA	NA	NA	NA	NA
66	125	125	186	186	288	288	226	235	214	220	177	177	238	243	216	220	13	M	Adult	2016	NA	NA	NA	NA	NA	NA
67	125	125	186	186	288	288	226	226	0	0	169	169	243	247	212	212	20	M	Adult	2017	NA	NA	NA	NA	NA	NA
68	125	125	186	186	288	288	228	237	215	220	169	177	247	251	220	220	13	M	Juv	2015	NA	NA	NA	NA	NA	NA
69	125	125	186	186	288	288	228	235	0	0	169	169	243	247	220	220	14	M	Adult	2017	NA	NA	NA	NA	NA	NA
71	125	125	186	186	288	288	226	228	0	0	169	169	247	247	220	220	13	M	Adult	2017	NA	NA	NA	NA	NA	NA
72	125	125	186	186	288	288	228	228	215	215	169	177	247	259	220	224	13	M	Juv	2016	NA	NA	NA	NA	NA	NA
73	125	125	186	186	286	288	226	228	218	220	169	177	243	243	216	220	18	M	Juv	2016	NA	NA	NA	NA	NA	NA
74	132	134	186	186	268	288	235	237	215	218	177	177	243	243	220	228	17	M	Adult	2017	NA	NA	NA	NA	NA	NA
75	129	134	186	188	268	288	229	229	211	215	169	190	251	259	220	224	16	M	Adult	2015	NA	NA	NA	NA	NA	NA
76	134	142	186	190	268	288	226	228	215	215	173	177	247	263	220	220	7	M	Juv	2017	NA	NA	NA	NA	NA	NA
77	125	134	177	177	288	290	228	228	215	215	169	177	247	259	224	228	1	M	Adult	2016	NA	NA	NA	NA	NA	NA
78	125	134	186	190	248	288	226	228	214	218	169	169	251	259	212	220	19	M	Adult	2015	NA	NA	NA	NA	NA	NA
79	125	134	183	186	262	268	228	229	0	0	169	177	243	251	212	212	1	M	Adult	2017	NA	NA	NA	NA	NA	NA
81	125	134	183	186	268	268	228	229	214	218	169	177	243	251	212	212	1	M	Juv	2016	NA	NA	NA	NA	NA	NA
82	125	134	183	186	288	290	228	229	215	215	169	177	255	259	212	216	7	M	Adult	2017	NA	NA	NA	NA	NA	NA
83	125	134	183	186	288	288	226	226	215	215	169	169	243	243	220	220	13	M	Juv	2017	NA	NA	NA	NA	NA	NA
84	125	134	183	186	288	288	228	228	215	218	169	169	238	243	220	228	18	M	Juv	2016	NA	NA	NA	NA	NA	NA
85	125	134	183	186	288	288	228	228	215	218	169	169	238	243	220	220	18	M	Juv	2016	NA	NA	NA	NA	NA	NA
86	125	134	177	186	268	290	226	228	215	215	169	169	243	255	212	228	10	M	Adult	2015	NA	NA	NA	NA	NA	NA
87	125	134	186	186	268	290	226	226	215	215	177	177	247	255	212	220	14	M	Juv	2015	NA	NA	NA	NA	NA	NA
89	125	134	186	186	284	288	228	237	214	214	173	177	243	247	212	220	13	M	Juv	2017	NA	NA	NA	NA	NA	NA
91	125	134	186	186	288	290	228	228	214	218	177	177	247	259	212	220	13	M	Adult	2015	NA	NA	NA	NA	NA	NA
92	125	134	186	186	288	290	228	228	214	218	177	177	259	259	212	220	13	M	Adult	2016	NA	NA	NA	NA	NA	NA
93	125	134	186	186	268	288	226	226	215	220	169	169	243	259	220	220	13	M	Adult	2016	NA	NA	NA	NA	NA	NA
94	125	134	186	186	268	288	226	226	215	215	169	169	243	259	220	220	13	M	Juv	2015	NA	NA	NA	NA	NA	NA
95	125	134	186	186	268	288	226	228	215	218	169	169	255	255	212	220	14	M	Juv	2015	NA	NA	NA	NA	NA	NA
96	125	134	186	186	288	288	237	237	215	215	169	169	238	243	212	212	8	M	Juv	2015	NA	NA	NA	NA	NA	NA
97	125	134	186	186	288	288	226	235	214	220	177	177	238	243	216	220	13	M	Adult	2016	NA	NA	NA	NA	NA	NA
98	125	134	186	186	288	288	228	237	214	218	169	169	243	243	212	220	13	M	Adult	2015	NA	NA	NA	NA	NA	NA
100	125	134	186	186	268	286	226	226	218	218	169	169	247	251	212	224	14	M	Juv	2015	NA	NA	NA	NA	NA	NA
101	125	134	186	186	268	286	226	228	214	218	169	169	247	251	212	220	14	M	Juv	2015	NA	NA	NA	NA	NA	NA
102	125	134	186	186	0	0	228	228	215	215	169	177	255	259	212	216	7	M	Adult	2015	NA	NA	NA	NA	NA	NA
104	134	134	190	190	268	288	228	228	0	0	0	0	238	243	220	224	14	M	Adult	2017	NA	NA	NA	NA	NA	NA
105	134	134	190	190	268	286	228	228	214	218	177	177	255	255	212	232	4	M	Juv	2016	NA	NA	NA	NA	NA	NA
106	134	134	183	190	288	288	226	228	0	0	169	169	247	251	212	220	7	M	Adult	2017	NA	NA	NA	NA	NA	NA
107	134	134	183	183	286	288	228	237	215	224	169	177	251	251	224	224	8	M	Juv	2017	NA	NA	NA	NA	NA	NA
108	134	134	188	188	268	288	229	229	0	0	169	169	247	251	212	224	16	M	Juv	2017	NA	NA	NA	NA	NA	NA
109	134	134	177	190	268	290	228	228	214	214	169	177	247	255	220	228	4	M	Juv	2016	NA	NA	NA	NA	NA	NA
110	134	134	177	190	268	268	228	228	214	215	169	169	255	263	212	212	1	M	Juv	2015	NA	NA	NA	NA	NA	NA
111	134	134	177	190	288	288	228	237	214	214	169	169	243	263	220	220	20	M	Adult	2017	NA	NA	NA	NA	NA	NA
112	134	134	184	186	268	290	226	229	0	0	169	169	0	0	212	212	20	M	Juv	2016	NA	NA	NA	NA	NA	NA
113	134	134	186	190	268	293	226	228	215	228	177	177	243	243	220	224	3	M	Adult	2016	NA	NA	NA	NA	NA	NA
114	134	134	186	190	268	290	226	228	214	215	169	177	247	259	212	220	3	M	Juv	2016	NA	NA	NA	NA	NA	NA
115	134	134	186	190	268	290	226	228	218	218	169	169	247	247	220	220	18	M	Adult	2015	NA	NA	NA	NA	NA	NA
116	134	134	186	190	268	268	228	237	214	214	177	177	243	247	220	228	1	M	Adult	2015	NA	NA	NA	NA	NA	NA
118	134	134	186	190	268	268	228	237	215	218	169	177	251	259	212	232	3	M	Juv	2016	NA	NA	NA	NA	NA	NA
119	134	134	186	190	268	268	228	228	214	218	177	177	243	259	220	228	4	M	Juv	2016	NA	NA	NA	NA	NA	NA
120	134	134	186	190	288	290	226	228	214	214	169	177	255	259	220	228	1	M	Juv	2017	NA	NA	NA	NA	NA	NA
121	134	134	186	190	268	288	226	226	218	218	169	169	234	234	232	232	20	M	Juv	2016	NA	NA	NA	NA	NA	NA
122	134	134	186	190	268	288	226	228	215	215	173	177	247	263	220	220	7	M	Juv	2017	NA	NA	NA	NA	NA	NA
123	134	134	186	190	268	288	226	228	218	218	169	177	243	247	212	220	13	M	Juv	2017	NA	NA	NA	NA	NA	NA
124	134	134	186	190	268	288	228	228	214	218	169	177	238	251	212	228	10	M	Juv	2017	NA	NA	NA	NA	NA	NA
125	134	134	186	190	268	288	228	228	214	218	169	177	243	255	212	220	20	M	Juv	2017	NA	NA	NA	NA	NA	NA
126	134	134	186	190	268	288	228	228	218	218	169	177	247	255	220	228	20	M	Juv	2017	NA	NA	NA	NA	NA	NA
127	134	134	186	190	288	288	226	229	215	215	169	169	234	247	212	212	3	M	Adult	2015	NA	NA	NA	NA	NA	NA
128	134	134	186	190	288	288	226	228	215	215	169	177	238	247	224	224	17	M	Juv	2016	NA	NA	NA	NA	NA	NA
129	134	134	186	190	288	288	226	228	214	218	169	169	238	259	212	228	7	M	Juv	2015	NA	NA	NA	NA	NA	NA
130	134	134	186	190	288	288	228	228	0	0	169	173	243	247	220	220	14	M	Adult	2016	NA	NA	NA	NA	NA	NA
132	134	134	186	190	286	290	226	228	215	228	169	177	259	259	212	220	15	M	Adult	2016	NA	NA	NA	NA	NA	NA
133	134	134	186	190	268	286	226	228	214	214	169	177	251	263	220	228	20	M	Juv	2016	NA	NA	NA	NA	NA	NA
134	134	134	186	190	286	288	226	226	214	214	169	169	238	247	212	220	7	M	Juv	2016	NA	NA	NA	NA	NA	NA
135	134	134	186	190	0	0	228	228	215	218	169	173	243	243	220	220	14	M	Adult	2015	NA	NA	NA	NA	NA	NA
137	134	134	183	186	268	268	228	228	214	218	169	169	247	247	220	220	17	M	Juv	2017	NA	NA	NA	NA	NA	NA
138	134	134	183	186	268	268	228	228	215	218	169	169	247	247	220	224	18	M	Adult	2017	NA	NA	NA	NA	NA	NA
139	134	134	183	186	288	290	226	228	228	228	169	177	243	247	220	220	3	M	Juv	2017	NA	NA	NA	NA	NA	NA
140	134	134	183	186	288	290	226	228	215	220	169	177	243	247	220	220	3	M	Juv	2017	NA	NA	NA	NA	NA	NA
141	134	134	183	186	288	290	226	228	215	215	169	177	243	247	220	220	3	M	Juv	2017	NA	NA	NA	NA	NA	NA
142	134	134	183	186	288	290	226	228	214	218	169	177	243	247	220	224	20	M	Juv	2017	NA	NA	NA	NA	NA	NA
143	134	134	183	186	288	290	226	228	218	218	169	177	247	263	220	228	7	M	Juv	2017	NA	NA	NA	NA	NA	NA
144	134	134	183	186	288	290	226	228	0	0	169	169	247	247	220	228	3	M	Juv	2017	NA	NA	NA	NA	NA	NA
145	134	134	183	186	288	290	228	228	215	224	169	177	247	259	224	224	13	M	Juv	2016	NA	NA	NA	NA	NA	NA
146	134	134	183	186	288	290	228	228	214	224	169	177	243	270	220	224	13	M	Adult	2016	NA	NA	NA	NA	NA	NA
147	134	134	183	186	288	290	228	228	214	214	177	177	247	247	216	220	13	M	Juv	2015	NA	NA	NA	NA	NA	NA
148	134	134	183	186	288	290	228	228	0	0	169	169	247	259	224	224	18	M	Juv	2017	NA	NA	NA	NA	NA	NA
150	134	134	183	186	268	288	226	228	0	0	177	177	247	251	220	220	13	M	Adult	2017	NA	NA	NA	NA	NA	NA
151	134	134	183	186	268	288	226	228	214	214	169	169	255	255	224	228	15	M	Adult	2016	NA	NA	NA	NA	NA	NA
152	134	134	183	186	268	288	228	228	215	218	169	169	243	251	220	236	4	M	Adult	2015	NA	NA	NA	NA	NA	NA
153	134	134	183	186	288	288	235	235	0	0	177	177	255	259	220	220	17	M	Juv	2017	NA	NA	NA	NA	NA	NA
154	134	134	183	186	288	288	226	226	218	218	169	177	243	259	220	224	19	M	Adult	2015	NA	NA	NA	NA	NA	NA
155	134	134	183	186	288	288	228	237	0	0	169	177	243	243	220	228	4	M	Juv	2017	NA	NA	NA	NA	NA	NA
156	134	134	183	186	288	288	228	228	214	214	177	177	263	263	220	224	1	M	Adult	2016	NA	NA	NA	NA	NA	NA
157	134	134	183	186	268	286	226	226	215	215	169	169	251	251	216	224	14	M	Juv	2017	NA	NA	NA	NA	NA	NA
158	134	134	183	186	286	286	226	228	0	0	0	0	247	247	224	224	14	M	Juv	2017	NA	NA	NA	NA	NA	NA
159	134	134	186	188	268	288	229	229	215	215	169	169	238	238	208	220	16	M	Juv	2017	NA	NA	NA	NA	NA	NA
160	134	134	186	188	268	288	229	229	0	0	169	169	259	259	220	224	16	M	Adult	2017	NA	NA	NA	NA	NA	NA
161	134	134	186	188	268	288	228	229	215	215	169	169	251	259	220	224	16	M	Adult	2017	NA	NA	NA	NA	NA	NA
162	134	134	186	188	268	288	228	229	215	215	169	169	247	251	208	220	16	M	Adult	2017	NA	NA	NA	NA	NA	NA
163	134	134	186	188	288	288	228	229	0	0	169	169	247	251	220	224	16	M	Juv	2017	NA	NA	NA	NA	NA	NA
164	134	134	186	188	268	286	229	229	212	215	169	169	251	251	212	220	16	M	Juv	2016	NA	NA	NA	NA	NA	NA
165	134	134	186	188	268	286	228	229	215	215	169	169	251	251	220	220	16	M	Juv	2016	NA	NA	NA	NA	NA	NA
167	134	134	186	188	286	288	228	228	215	215	169	169	251	251	212	224	16	M	Juv	2017	NA	NA	NA	NA	NA	NA
169	134	134	186	188	0	0	229	229	215	215	169	169	247	259	220	220	16	M	Adult	2015	NA	NA	NA	NA	NA	NA
170	134	134	186	188	0	0	228	229	215	215	169	169	247	247	208	212	16	M	Adult	2015	NA	NA	NA	NA	NA	NA
171	134	134	186	188	0	0	228	235	214	218	169	177	247	247	220	224	14	M	Adult	2015	NA	NA	NA	NA	NA	NA
172	134	134	177	186	290	290	228	228	215	218	169	169	247	247	220	228	4	M	Juv	2016	NA	NA	NA	NA	NA	NA
173	134	134	177	186	268	290	226	235	215	228	169	177	243	243	228	228	18	M	Juv	2016	NA	NA	NA	NA	NA	NA
174	134	134	177	186	268	290	226	228	215	218	169	177	243	255	212	220	4	M	Juv	2016	NA	NA	NA	NA	NA	NA
175	134	134	177	186	268	290	228	228	214	220	169	177	247	247	220	228	1	M	Adult	2016	NA	NA	NA	NA	NA	NA
177	134	134	177	186	268	290	228	228	0	0	169	177	255	255	220	228	10	M	Adult	2017	NA	NA	NA	NA	NA	NA
178	134	134	177	186	268	268	228	237	215	218	177	177	255	255	212	220	4	M	Juv	2016	NA	NA	NA	NA	NA	NA
179	134	134	177	186	268	268	228	228	214	224	169	177	251	259	224	228	20	M	Juv	2016	NA	NA	NA	NA	NA	NA
180	134	134	177	186	288	290	228	228	215	218	169	177	247	259	220	224	1	M	Adult	2015	NA	NA	NA	NA	NA	NA
181	134	134	177	186	268	288	228	228	212	215	169	177	259	259	212	212	1	M	Juv	2016	NA	NA	NA	NA	NA	NA
183	134	134	177	186	268	288	228	228	214	218	169	177	247	255	212	216	6	M	Juv	2017	NA	NA	NA	NA	NA	NA
185	134	134	177	186	268	286	228	228	214	214	169	169	259	259	212	220	1	M	Juv	2016	NA	NA	NA	NA	NA	NA
186	134	134	186	186	290	290	226	228	215	218	169	169	238	255	212	220	17	M	Adult	2015	NA	NA	NA	NA	NA	NA
187	134	134	186	186	290	290	226	228	214	218	169	177	247	247	220	228	1	M	Adult	2015	NA	NA	NA	NA	NA	NA
188	134	134	186	186	290	290	226	228	218	218	169	169	243	243	220	220	17	M	Adult	2015	NA	NA	NA	NA	NA	NA
189	134	134	186	186	290	290	228	228	215	218	169	169	238	238	224	224	4	M	Adult	2015	NA	NA	NA	NA	NA	NA
190	134	134	186	186	290	290	0	0	0	0	169	169	247	247	220	220	18	M	Adult	2017	NA	NA	NA	NA	NA	NA
191	134	134	186	186	268	290	237	237	214	218	169	169	238	243	220	220	20	M	Adult	2016	NA	NA	NA	NA	NA	NA
192	134	134	186	186	268	290	226	226	214	215	169	169	247	247	212	220	18	M	Juv	2016	NA	NA	NA	NA	NA	NA
193	134	134	186	186	268	290	226	226	0	0	169	177	251	255	220	228	8	M	Juv	2017	NA	NA	NA	NA	NA	NA
194	134	134	186	186	268	290	228	237	215	218	169	177	251	255	212	220	3	M	Juv	2017	NA	NA	NA	NA	NA	NA
195	134	134	186	186	268	290	226	228	215	215	169	177	243	243	216	224	18	M	Juv	2016	NA	NA	NA	NA	NA	NA
196	134	134	186	186	268	290	226	228	214	215	169	169	247	247	212	220	18	M	Juv	2016	NA	NA	NA	NA	NA	NA
197	134	134	186	186	268	290	226	228	215	218	169	177	255	259	224	224	17	M	Juv	2017	NA	NA	NA	NA	NA	NA
198	134	134	186	186	268	290	226	228	0	0	169	169	247	247	220	220	14	M	Adult	2017	NA	NA	NA	NA	NA	NA
199	134	134	186	186	268	290	228	228	212	215	177	177	247	255	212	228	1	M	Juv	2016	NA	NA	NA	NA	NA	NA
200	134	134	186	186	268	290	228	228	212	215	169	177	247	247	212	212	14	M	Juv	2016	NA	NA	NA	NA	NA	NA
201	134	134	186	186	268	290	228	228	212	215	169	169	243	259	212	220	3	M	Juv	2016	NA	NA	NA	NA	NA	NA
202	134	134	186	186	268	290	228	228	215	215	169	169	259	259	212	228	1	M	Juv	2016	NA	NA	NA	NA	NA	NA
203	134	134	186	186	268	290	228	228	215	215	169	169	247	259	212	228	1	M	Juv	2015	NA	NA	NA	NA	NA	NA
204	134	134	186	186	268	290	228	228	215	215	169	169	247	255	212	220	1	M	Juv	2017	NA	NA	NA	NA	NA	NA
205	134	134	186	186	268	290	228	228	214	220	169	169	255	255	212	220	10	M	Juv	2016	NA	NA	NA	NA	NA	NA
206	134	134	186	186	268	290	228	228	0	0	169	169	251	259	220	236	3	M	Adult	2017	NA	NA	NA	NA	NA	NA
207	134	134	186	186	268	268	229	229	215	215	169	169	247	251	220	220	16	M	Juv	2016	NA	NA	NA	NA	NA	NA
208	134	134	186	186	268	268	235	237	215	218	169	169	247	259	224	232	8	M	Juv	2017	NA	NA	NA	NA	NA	NA
209	134	134	186	186	268	268	226	226	214	218	169	177	251	251	212	220	4	M	Juv	2016	NA	NA	NA	NA	NA	NA
210	134	134	186	186	268	268	228	237	214	214	169	173	255	259	212	220	3	M	Adult	2017	NA	NA	NA	NA	NA	NA
211	134	134	186	186	268	268	228	237	214	218	177	177	243	255	220	224	18	M	Juv	2015	NA	NA	NA	NA	NA	NA
212	134	134	186	186	268	268	228	235	215	215	169	177	247	259	220	224	8	M	Adult	2016	NA	NA	NA	NA	NA	NA
213	134	134	186	186	268	268	226	228	214	226	177	177	255	259	220	228	7	M	Juv	2016	NA	NA	NA	NA	NA	NA
214	134	134	186	186	268	268	226	228	214	215	177	177	251	255	212	220	7	M	Juv	2016	NA	NA	NA	NA	NA	NA
215	134	134	186	186	268	268	226	228	218	226	169	169	247	247	220	220	18	M	Adult	2016	NA	NA	NA	NA	NA	NA
216	134	134	186	186	268	268	226	228	215	218	169	169	243	243	220	220	13	M	Juv	2017	NA	NA	NA	NA	NA	NA
217	134	134	186	186	268	268	226	228	214	218	169	177	238	255	224	228	1	M	Adult	2016	NA	NA	NA	NA	NA	NA
218	134	134	186	186	268	268	228	228	212	215	177	177	247	255	212	212	1	M	Juv	2016	NA	NA	NA	NA	NA	NA
219	134	134	186	186	268	268	228	228	212	215	177	177	247	255	212	228	1	M	Juv	2016	NA	NA	NA	NA	NA	NA
220	134	134	186	186	268	268	228	228	214	215	169	177	251	255	212	212	14	M	Juv	2015	NA	NA	NA	NA	NA	NA
221	134	134	186	186	268	268	228	228	214	214	169	169	247	247	224	228	7	M	Juv	2017	NA	NA	NA	NA	NA	NA
223	134	134	186	186	268	268	228	228	0	0	169	169	243	247	220	232	13	M	Juv	2017	NA	NA	NA	NA	NA	NA
224	134	134	186	186	268	268	228	228	0	0	169	169	251	255	212	224	18	M	Juv	2016	NA	NA	NA	NA	NA	NA
225	134	134	186	186	284	288	228	228	215	215	177	177	243	247	220	224	19	M	Juv	2016	NA	NA	NA	NA	NA	NA
226	134	134	186	186	288	293	226	228	214	214	169	169	243	255	212	224	3	M	Juv	2017	NA	NA	NA	NA	NA	NA
227	134	134	186	186	288	293	228	228	214	214	169	177	238	247	212	228	13	M	Juv	2016	NA	NA	NA	NA	NA	NA
228	134	134	186	186	288	293	228	228	215	218	169	177	243	247	212	220	13	M	Adult	2017	NA	NA	NA	NA	NA	NA
229	134	134	186	186	288	290	237	237	220	220	169	169	243	247	220	232	13	M	Adult	2016	NA	NA	NA	NA	NA	NA
230	134	134	186	186	288	290	237	237	215	215	169	169	251	259	220	232	20	M	Juv	2016	NA	NA	NA	NA	NA	NA
231	134	134	186	186	288	290	237	237	218	218	169	169	243	247	220	232	13	M	Adult	2017	NA	NA	NA	NA	NA	NA
232	134	134	186	186	288	290	235	237	214	214	169	177	247	247	212	220	18	M	Juv	2016	NA	NA	NA	NA	NA	NA
233	134	134	186	186	288	290	226	237	218	218	169	177	243	247	220	232	18	M	Juv	2015	NA	NA	NA	NA	NA	NA
234	134	134	186	186	288	290	228	237	212	215	169	169	238	259	212	212	17	M	Adult	2016	NA	NA	NA	NA	NA	NA
235	134	134	186	186	288	290	228	237	215	218	169	177	247	251	224	224	10	M	Juv	2016	NA	NA	NA	NA	NA	NA
