  1        1    (0)   19 :  0.000 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 1.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 20: 0.000  |  ***
701     1930   (12)   20 :  0.997 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 19: 0.001  |  
702     1931    (0)    7 :  0.999 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 19: 0.000  | Pop 20: 0.000  |  
703     1932    (0)    1 :  0.973 | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 0.000  | Pop 6: 0.001  | Pop 7: 0.001  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.001  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.001  | Pop 15: 0.019  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 19: 0.003  | Pop 20: 0.000  |  
704     1940    (0)    1 :  0.999 | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.000  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 19: 0.000  | Pop 20: 0.000  |  
705     1943   (12)    3 :  0.994 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 4: 0.005  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.001  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.000  | Pop 19: 0.000  | Pop 20: 0.000  |  
706     1944    (0)   20 :  0.988 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.001  | Pop 4: 0.004  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.001  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.001  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.001  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 18: 0.002  | Pop 19: 0.002  |  
707     1945    (0)   18 :  0.967 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.007  | Pop 4: 0.014  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.001  | Pop 8: 0.002  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.006  | Pop 14: 0.000  | Pop 15: 0.001  | Pop 16: 0.000  | Pop 17: 0.001  | Pop 19: 0.000  | Pop 20: 0.000  |  
708     1949    (0)   18 :  0.995 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.001  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.001  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 19: 0.000  | Pop 20: 0.001  |  
709     1951    (0)   18 :  0.992 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.005  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.000  | Pop 15: 0.000  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 19: 0.000  | Pop 20: 0.001  |  
710     1953    (0)   18 :  0.996 | Pop 1: 0.000  | Pop 2: 0.000  | Pop 3: 0.000  | Pop 4: 0.001  | Pop 5: 0.000  | Pop 6: 0.000  | Pop 7: 0.000  | Pop 8: 0.000  | Pop 9: 0.000  | Pop 10: 0.000  | Pop 11: 0.000  | Pop 12: 0.000  | Pop 13: 0.000  | Pop 14: 0.001  | Pop 15: 0.001  | Pop 16: 0.000  | Pop 17: 0.000  | Pop 19: 0.001  | Pop 20: 0.000  |  
