"offspring" "father" "occurences"
3383 1778 1
3392 1778 1
3399 1779 1
3457 1787 1
3535 1233 2
3552 1026 1
3605 1756 1
3610 869 2
3705 1756 1
3748 981 1
4136 1756 1
4156 1222 3
4320 1779 1
4323 1779 1
4333 1778 1
4342 1756 1
4347 1756 1
4356 1026 1
4407 1791 1
4463 1233 1
31 1778 2
360 1787 2
411 925 1
618 349 1
844 1789 1
852 846 1
926 925 1
960 981 1
1050 1780 1
1055 846 1
1057 846 1
1170 1233 1
1229 1233 2
1230 1791 1
1254 1306 1
1627 1626 1
1641 1626 1
1642 1233 2
1666 1233 1
1685 1688 2
1703 1789 1
1782 1789 1
1784 1821 1
1785 1789 1
1802 1780 2
1806 1821 1
1824 1688 1
1884 4474 1
1916 1778 1
2071 349 2
2399 1778 2
2404 925 1
2542 349 2
2756 349 2
3066 846 1
3094 846 2
3101 1778 2
3201 925 1
3203 925 1
3249 981 1
3320 1006 1
3321 1006 2
3338 846 1
3340 1626 1
3350 1778 2
3355 846 1
3391 846 1
3392 846 1
3394 846 1
3399 1791 1
3429 846 1
3449 1778 2
3463 1791 1
3614 1233 2
4131 1233 1
4136 1233 2
4148 1789 1
4155 1233 1
4261 1688 1
4263 1688 1
4264 1789 1
4319 1778 2
4320 1780 2
4321 1778 2
4327 1821 1
4333 1306 1
4355 1306 1
4356 1789 1
4386 1789 1
4389 1789 2
4463 1789 1
393 67 1
414 67 1
838 1013 1
844 1026 1
845 1778 1
847 1026 1
1056 1701 1
1057 1778 1
1104 1026 1
1149 1226 1
1160 1226 1
1170 1013 1
1187 1799 1
1206 1026 1
1223 1226 1
1225 1799 1
1231 1222 1
1232 1226 1
1234 1236 1
1253 1226 1
1254 1226 1
1258 1226 1
1264 1226 1
1287 1236 1
1298 1026 1
1641 1701 1
1642 1226 1
1666 1701 1
1670 1829 1
1689 1701 1
1694 1701 1
1703 1701 1
1776 1778 1
1784 1778 1
1802 1778 1
1806 1829 2
1825 1701 1
1874 67 1
1925 67 1
1977 67 1
2304 67 1
2315 67 1
2321 67 1
2343 67 1
2441 156 1
2530 161 1
3066 869 1
3079 1013 1
3081 1013 1
3082 1013 1
3083 1013 1
3088 1778 1
3090 1026 1
3337 1013 1
3358 1226 1
3367 1799 1
3446 1236 1
3452 1778 1
3457 1821 1
3459 1701 1
3554 1799 1
3605 1226 1
3614 1799 1
