idind	rha101	rha101b	rha109	rha109b	rha4	rha4b	rha7	rha7b	rhc108	rhc108b	rhc3	rhc3b	rhd102	rhd102b	rhd103	rhd103b	idcol	sexe	ageWhenFirstCaptur	yearWhenFirstCaptur	col2013_1	col2013_2	col2014_1	col2014_2	col2015_1	col2015_2	col2016_1	col2016_2
398	136	136	186	188	288	288	235	237	218	218	169	173	238	243	216	216	M1102	F	Adult	2013	M1102	M1102	NA	NA	NA	NA	M1102	NA
1026	136	138	188	188	286	288	229	241	216	216	169	173	247	255	212	220	PP1	F	Adult	2013	PP1	NA	PP1	PP1	NA	NA	NA	NA
2380	136	136	175	190	265	286	231	237	216	216	169	169	243	251	216	220	M815	F	Adult	2014	NA	NA	M815	NA	NA	NA	NA	NA
897	136	136	186	188	288	290	228	237	211	220	169	169	251	255	220	224	M1113	F	Adult	2013	M1113	M1113	NA	NA	NA	NA	NA	NA
216	136	136	186	188	268	288	235	241	211	220	169	173	243	251	216	224	M831	F	Adult	2013	M831	NA	M831	NA	NA	NA	NA	NA
2450	136	136	188	190	288	288	237	239	211	216	169	173	238	255	220	224	PP3	F	Adult	2015	NA	NA	NA	NA	PP3	NA	NA	NA
780	125	136	186	190	290	290	229	237	216	216	169	173	255	255	216	224	M815	F	Adult	2013	M815	M815	M815	M815	M815	M815	M815	M815
949	136	138	177	188	288	290	229	239	211	216	169	177	247	251	220	220	PP3	F	Adult	2013	PP3	M1106	PP3	PP3	PP3	M1106	NA	NA
3588	125	136	177	186	268	288	235	241	216	226	173	177	247	255	212	220	M244	M	Adult	2016	NA	NA	NA	NA	NA	NA	M244	NA
1152	136	136	186	186	265	288	229	237	211	216	169	173	255	259	220	224	M831	F	Juv	2013	NA	M831	NA	NA	M831	M831	NA	NA
1128	125	136	184	188	265	288	228	231	218	218	169	169	238	255	212	224	M1975	F	Adult	2013	M1975	NA	M1975	M1975	NA	NA	NA	NA
729	138	138	175	184	268	288	235	237	211	216	173	190	238	255	224	228	M244	M	Juv	2013	NA	M244	NA	NA	NA	NA	NA	NA
3426	136	138	175	186	288	290	228	235	211	220	169	173	247	251	212	216	M811	F	Adult	2016	NA	NA	NA	NA	NA	NA	M811	NA
1831	136	136	175	188	265	265	235	239	211	216	181	181	234	259	216	220	M1975	M	Adult	2014	NA	NA	M1975	NA	NA	M1975	M1975	M1975
931	136	136	175	188	268	290	235	237	216	220	169	173	243	251	220	224	M813	M	Adult	2013	M813	NA	NA	M813	NA	M813	NA	NA
4037	136	138	177	183	265	288	237	241	214	220	165	169	243	243	216	220	M809	F	Juv	2016	NA	NA	NA	NA	NA	NA	NA	M809
2324	129	136	186	188	290	290	235	237	211	211	169	173	247	255	216	216	M244	M	Adult	2014	NA	NA	M244	NA	NA	NA	NA	NA
2741	134	136	175	186	268	288	235	241	211	211	169	169	247	255	220	224	M244	F	Adult	2015	NA	NA	NA	NA	M244	NA	M244	NA
3200	136	136	175	186	265	268	233	235	210	216	169	169	243	251	216	232	M1079	F	Adult	2015	NA	NA	NA	NA	M1079	NA	M1079	M1079
329	136	136	175	175	268	290	228	229	216	216	173	173	247	255	216	220	M811	F	Juv	2013	NA	M811	NA	M811	NA	M811	NA	M811
8	134	136	184	188	268	290	228	233	216	218	169	177	251	259	216	216	M1979	F	Adult	2013	M1979	M1979	NA	M1979	M1979	M1979	NA	M1979
2001	136	136	173	186	268	288	229	229	216	220	173	177	234	243	224	224	M813	F	Juv	2014	NA	NA	NA	M813	NA	NA	NA	NA
1596	136	136	184	186	284	284	233	235	211	216	169	169	243	251	224	224	M1079	F	Juv	2013	NA	M1079	NA	M1079	NA	NA	NA	NA
1507	136	150	186	186	268	284	229	233	210	220	169	177	251	251	224	232	M1079	F	Adult	2013	M1079	M1079	NA	NA	NA	NA	M1079	M1079
629	136	136	175	175	268	288	235	241	211	218	169	177	238	251	220	232	M1551	F	Adult	2013	M1551	M1551	M1551	NA	NA	NA	M1551	M1551
69	136	136	175	188	288	288	228	231	211	218	169	169	234	259	216	228	M1112	F	Juv	2013	NA	M1112	NA	M1112	NA	NA	NA	NA
2974	125	136	177	184	268	284	228	235	211	220	181	181	234	259	220	228	M1975	F	Juv	2015	NA	NA	NA	NA	NA	M1975	M1975	NA
385	125	136	188	188	288	288	237	237	211	218	169	173	238	255	216	224	M811	F	Adult	2013	M811	M811	M811	NA	NA	M811	M811	M811
2416	136	136	177	188	265	265	235	237	210	216	173	177	234	238	228	232	M811	M	Adult	2015	NA	NA	NA	NA	M811	NA	NA	NA
1667	136	136	175	188	286	288	233	237	216	216	169	169	243	259	224	228	M831	M	Juv	2013	NA	M831	NA	NA	NA	NA	NA	NA
3924	136	136	188	190	286	290	229	229	216	216	169	169	243	243	216	224	M1106	F	Juv	2016	NA	NA	NA	NA	NA	NA	NA	M1106
2164	136	136	175	188	268	288	237	239	216	220	169	173	243	263	220	224	M1112	F	Juv	2014	NA	NA	NA	M1112	M1112	NA	NA	NA
